figure,panel,key,dataset,feature,n_A,n_B,configuration,mean_error,selected_error,tolerance,before_ratio,after_ratio,error_reduction_pct,agreement,source_doi,mean_selection_score,selected_selection_score,selection_gain_points
Figure_2_Improvement,a,WDBC__10,WDBC,radius error,357,212,bins_8,0.35618843136378253,0.06145410717193098,0.17649163483146055,2.0181604170867486,0.34819841308975436,82.7467425215,0.8898898898898899,10.24432/C5DW2B,0.0,96.8365553602812,96.8365553602812
Figure_2_Improvement,b,HAR__29,HAR,tBodyGyroJerk-std()-Z,30,30,five_number,0.23240538500000008,0.026304752413793153,0.16086562500000012,1.444717508790333,0.16352003365413295,88.681521982,0.975975975975976,10.24432/C54S4K,0.0,83.33333333333334,83.33333333333334
Figure_2_Improvement,c,WDBC__22,WDBC,worst perimeter,357,212,density_8,33.27560818667084,6.642277968273248,17.583933649289065,1.8923870420778233,0.37774698771920134,80.0385978492,0.7137137137137137,10.24432/C5DW2B,0.0,96.8365553602812,96.8365553602812
Figure_3_Limits,a,BIDMC__00,BIDMC,mean,46,46,means,3.29640575400488,3.29640575400488,5.752598752598743,0.573028972777864,0.573028972777864,0.0,0.972972972972973,10.13026/C2208R,97.82608695652173,97.82608695652173,0.0
Figure_3_Limits,b,CKD__09,CKD,wc,143,151,bins_4,3136.0579817533453,2385.8333333333394,2500.0,1.254423192701338,0.9543333333333358,23.9225375546,0.8368368368368369,10.24432/C5G020,0.0,96.5986394557823,96.5986394557823
Figure_3_Limits,c,CKD__06,CKD,pot,145,167,bins_32,0.9805120792896962,0.5338269788402457,0.5999999999999996,1.6341867988161614,0.88971163140041,45.5563077584,0.9409409409409408,10.24432/C5G020,0.0,78.84615384615384,78.84615384615384
