key,figure,representation,configuration,N,error,score,qualifies,score_status,n_raw,discrepancy_ratio,order
BIDMC__00,Figure_3_Limits,Five-number,five_number,10,3.9829563275473703,89.13043478260869,True,qualifies,92,0.6923751331949,3
BIDMC__00,Figure_3_Limits,Binned,bins_8,18,1.8949019331831778,80.43478260869566,True,qualifies,92,0.32939928798739065,4
BIDMC__00,Figure_3_Limits,Density,density_8,18,3.035561916104342,80.43478260869566,True,qualifies,92,0.5276853204359201,5
BIDMC__00,Figure_3_Limits,Binned,bins_16,34,2.0396470298423424,63.04347826086957,True,qualifies,92,0.3545609762754493,6
BIDMC__00,Figure_3_Limits,Density,density_16,34,2.8700798098708447,63.04347826086957,True,qualifies,92,0.4989188249179178,7
BIDMC__00,Figure_3_Limits,Binned,bins_32,66,2.0958617792580725,28.260869565217394,True,qualifies,92,0.36433303788331567,8
BIDMC__00,Figure_3_Limits,Density,density_32,66,2.6455980387322313,28.260869565217394,True,qualifies,92,0.45989615346230767,9
BIDMC__00,Figure_3_Limits,Observations,raw,92,0.0,0.0,True,qualifies,92,0.0,10
BIDMC__00,Figure_3_Limits,Binned,bins_64,130,2.421802654699931,0.0,True,qualifies,92,0.42099279975087417,11
BIDMC__00,Figure_3_Limits,Density,density_64,130,2.5476429183191414,0.0,True,qualifies,92,0.44286817626003216,12
BIDMC__00,Figure_3_Limits,Density,density_128,258,2.5626027943032312,0.0,True,qualifies,92,0.44546871848928665,13
BIDMC__00,Figure_3_Limits,Density,density_256,514,2.559180283382844,0.0,True,qualifies,92,0.4448737680907661,14
CKD__09,Figure_3_Limits,Binned,bins_4,10,2385.8333333333394,96.5986394557823,True,qualifies,294,0.9543333333333358,1
CKD__09,Figure_3_Limits,Binned,bins_8,18,917.9473684210534,93.87755102040816,True,qualifies,294,0.3671789473684214,2
CKD__09,Figure_3_Limits,Density,density_8,18,1741.7144221379003,93.87755102040816,True,qualifies,294,0.6966857688551601,3
CKD__09,Figure_3_Limits,Density,density_16,34,733.884361614244,88.43537414965986,True,qualifies,294,0.2935537446456976,4
CKD__09,Figure_3_Limits,Binned,bins_16,34,848.3249999999989,88.43537414965986,True,qualifies,294,0.3393299999999996,5
CKD__09,Figure_3_Limits,Binned,bins_32,66,711.5,77.55102040816327,True,qualifies,294,0.2846,6
CKD__09,Figure_3_Limits,Density,density_32,66,764.6746034968546,77.55102040816327,True,qualifies,294,0.30586984139874185,7
CKD__09,Figure_3_Limits,Binned,bins_64,130,659.09676232524,55.78231292517006,True,qualifies,294,0.263638704930096,8
CKD__09,Figure_3_Limits,Density,density_64,130,751.0495291156603,55.78231292517006,True,qualifies,294,0.30041981164626413,9
CKD__09,Figure_3_Limits,Density,density_128,258,762.3711591084757,12.244897959183676,True,qualifies,294,0.3049484636433903,10
CKD__09,Figure_3_Limits,Observations,raw,294,0.0,0.0,True,qualifies,294,0.0,11
CKD__09,Figure_3_Limits,Density,density_256,514,763.2602761493545,0.0,True,qualifies,294,0.30530411045974176,12
CKD__09,Figure_3_Limits,Means,means,2,3136.0579817533453,0.0,False,does_not_qualify,294,1.254423192701338,13
CKD__09,Figure_3_Limits,Five-number,five_number,10,8089.999999999996,0.0,False,does_not_qualify,294,3.2359999999999984,14
CKD__06,Figure_3_Limits,Binned,bins_32,66,0.5338269788402457,78.84615384615384,True,qualifies,312,0.88971163140041,1
CKD__06,Figure_3_Limits,Binned,bins_64,130,0.4315227914764641,58.33333333333333,True,qualifies,312,0.7192046524607739,2
CKD__06,Figure_3_Limits,Observations,raw,312,0.0,0.0,True,qualifies,312,0.0,3
CKD__06,Figure_3_Limits,Means,means,2,0.9805120792896962,0.0,False,does_not_qualify,312,1.6341867988161614,4
CKD__06,Figure_3_Limits,Density,density_16,34,0.9973163031576311,0.0,False,does_not_qualify,312,1.6621938385960529,5
CKD__06,Figure_3_Limits,Density,density_64,130,1.1384767742025428,0.0,False,does_not_qualify,312,1.8974612903375725,6
CKD__06,Figure_3_Limits,Binned,bins_4,10,1.172462577583059,0.0,False,does_not_qualify,312,1.9541042959717663,7
CKD__06,Figure_3_Limits,Density,density_8,18,1.2053078163623843,0.0,False,does_not_qualify,312,2.008846360603975,8
CKD__06,Figure_3_Limits,Binned,bins_8,18,1.2362312887915294,0.0,False,does_not_qualify,312,2.060385481319217,9
CKD__06,Figure_3_Limits,Binned,bins_16,34,1.2481685671256448,0.0,False,does_not_qualify,312,2.080280945209409,10
CKD__06,Figure_3_Limits,Density,density_128,258,1.3314647447387709,0.0,False,does_not_qualify,312,2.2191079078979525,11
CKD__06,Figure_3_Limits,Density,density_256,514,1.4135615110331674,0.0,False,does_not_qualify,312,2.355935851721947,12
CKD__06,Figure_3_Limits,Density,density_32,66,1.6207197923801528,0.0,False,does_not_qualify,312,2.701199653966923,13
CKD__06,Figure_3_Limits,Five-number,five_number,10,32.3,0.0,False,does_not_qualify,312,53.83333333333336,14
