key,representation,configuration,N,error,score,qualifies,score_status,n_raw,discrepancy_ratio,order
WDBC__04,Density,density_16,34,0.0024666018063778106,94.02460456942003,True,qualifies,569,0.3262460660533128,5
WDBC__04,Binned,bins_32,66,0.0011549380047401747,88.40070298769771,True,qualifies,569,0.15275833318847032,6
WDBC__04,Density,density_32,66,0.0021834216911906373,88.40070298769771,True,qualifies,569,0.2887911358227994,7
WDBC__04,Binned,bins_64,130,0.0009522346273700966,77.15289982425307,True,qualifies,569,0.12594769059844427,8
WDBC__04,Density,density_64,130,0.002082344743036868,77.15289982425307,True,qualifies,569,0.2754221531931033,9
WDBC__04,Density,density_128,258,0.0020687786998723062,54.65729349736379,True,qualifies,569,0.2736278351143182,10
WDBC__04,Density,density_256,514,0.002061212411899549,9.666080843585235,True,qualifies,569,0.27262707703518446,11
WDBC__04,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,12
WDBC__04,Binned,bins_4,10,0.010421042505854808,0.0,False,does_not_qualify,569,1.3783433195089194,13
WDBC__04,Five-number,five_number,10,0.02149999999999999,0.0,False,does_not_qualify,569,2.8437060258407354,14
WDBC__05,Five-number,five_number,10,0.011507582938388633,98.24253075571178,True,qualifies,569,0.30231043812042374,1
WDBC__05,Binned,bins_4,10,0.01570861470552945,98.24253075571178,True,qualifies,569,0.4126738185871818,2
WDBC__05,Binned,bins_8,18,0.012441275741115213,96.8365553602812,True,qualifies,569,0.32683905388390766,3
WDBC__05,Density,density_8,18,0.01322401014229374,96.8365553602812,True,qualifies,569,0.3474019106557523,4
WDBC__05,Binned,bins_16,34,0.006385839034398169,94.02460456942003,True,qualifies,569,0.16775945101515263,5
WDBC__05,Density,density_16,34,0.009705787476608205,94.02460456942003,True,qualifies,569,0.25497629520174536,6
WDBC__05,Binned,bins_32,66,0.004505142654028418,88.40070298769771,True,qualifies,569,0.11835253821990259,7
WDBC__05,Density,density_32,66,0.00633790560881943,88.40070298769771,True,qualifies,569,0.1665002139568664,8
WDBC__05,Binned,bins_64,130,0.0032264628381714067,77.15289982425307,True,qualifies,569,0.08476092672189288,9
WDBC__05,Density,density_64,130,0.006484980105313121,77.15289982425307,True,qualifies,569,0.17036394065858976,10
WDBC__05,Density,density_128,258,0.006475759848781487,54.65729349736379,True,qualifies,569,0.17012171952435293,11
WDBC__05,Density,density_256,514,0.006477126611731138,9.666080843585235,True,qualifies,569,0.17015762512749547,12
WDBC__05,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,13
WDBC__05,Means,means,2,0.0412884118635795,0.0,False,does_not_qualify,569,1.0846689479974339,14
WDBC__06,Binned,bins_4,10,0.04263676069866539,98.24253075571178,True,qualifies,569,0.683274156112266,1
WDBC__06,Binned,bins_8,18,0.013925069535852028,96.8365553602812,True,qualifies,569,0.22315579279482517,2
WDBC__06,Density,density_8,18,0.03492855897568485,96.8365553602812,True,qualifies,569,0.5597465958307575,3
WDBC__06,Binned,bins_16,34,0.012095953791469133,94.02460456942003,True,qualifies,569,0.1938433521638932,4
WDBC__06,Density,density_16,34,0.02298825828830034,94.02460456942003,True,qualifies,569,0.36839765791402834,5
WDBC__06,Binned,bins_32,66,0.010267517316806363,88.40070298769771,True,qualifies,569,0.16454179714990744,6
WDBC__06,Density,density_32,66,0.014692004810313075,88.40070298769771,True,qualifies,569,0.2354462915068088,7
WDBC__06,Binned,bins_64,130,0.011796712853773733,77.15289982425307,True,qualifies,569,0.18904787530712375,8
WDBC__06,Density,density_64,130,0.014380427332189805,77.15289982425307,True,qualifies,569,0.23045311578380107,9
WDBC__06,Density,density_128,258,0.014262811112786433,54.65729349736379,True,qualifies,569,0.2285682605147546,10
WDBC__06,Density,density_256,514,0.014294717671440693,9.666080843585235,True,qualifies,569,0.22907957813320626,11
WDBC__06,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,12
WDBC__06,Means,means,2,0.09338953909836131,0.0,False,does_not_qualify,569,1.496611315482597,13
WDBC__06,Five-number,five_number,10,0.16561071090047394,0.0,False,does_not_qualify,569,2.6539895826845927,14
WDBC__07,Binned,bins_4,10,0.013165896226415078,98.24253075571178,True,qualifies,569,0.6252714899748005,1
WDBC__07,Five-number,five_number,10,0.0139736018957346,98.24253075571178,True,qualifies,569,0.663630848018596,2
WDBC__07,Binned,bins_8,18,0.006769167202184914,96.8365553602812,True,qualifies,569,0.3214796159418911,3
WDBC__07,Binned,bins_16,34,0.004211278633491383,94.02460456942003,True,qualifies,569,0.20000100415337901,4
WDBC__07,Density,density_16,34,0.005999854588636472,94.02460456942003,True,qualifies,569,0.2849436114149269,5
WDBC__07,Binned,bins_32,66,0.002790879739336588,88.40070298769771,True,qualifies,569,0.1325437708869615,6
WDBC__07,Density,density_32,66,0.006222813418059608,88.40070298769771,True,qualifies,569,0.295532317043393,7
WDBC__07,Binned,bins_64,130,0.0027908797393365603,77.15289982425307,True,qualifies,569,0.1325437708869602,8
WDBC__07,Density,density_64,130,0.006819257874840716,77.15289982425307,True,qualifies,569,0.3238585097890487,9
WDBC__07,Density,density_128,258,0.006883058872863244,54.65729349736379,True,qualifies,569,0.3268885310203711,10
WDBC__07,Density,density_256,514,0.0068902061608569695,9.666080843585235,True,qualifies,569,0.32722796825550204,11
WDBC__07,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,12
WDBC__07,Density,density_8,18,0.021541151003927048,0.0,False,does_not_qualify,569,1.0230270201411962,13
WDBC__07,Means,means,2,0.03379849620985835,0.0,False,does_not_qualify,569,1.605149829576024,14
WDBC__08,Means,means,2,0.010874784942596943,99.64850615114236,True,qualifies,569,0.6013790018393131,1
WDBC__08,Five-number,five_number,10,0.00809662921348317,98.24253075571178,True,qualifies,569,0.44774612283089066,2
WDBC__08,Binned,bins_8,18,0.0048845202083749595,96.8365553602812,True,qualifies,569,0.2701154922034727,3
WDBC__08,Density,density_8,18,0.01072256742973264,96.8365553602812,True,qualifies,569,0.5929613258639262,4
WDBC__08,Density,density_16,34,0.0035011985156776504,94.02460456942003,True,qualifies,569,0.19361737079985847,5
WDBC__08,Binned,bins_16,34,0.004145786516853933,94.02460456942003,True,qualifies,569,0.22926328847006305,6
WDBC__08,Binned,bins_32,66,0.003153436018957345,88.40070298769771,True,qualifies,569,0.17438599617877454,7
WDBC__08,Density,density_32,66,0.0034144546152503896,88.40070298769771,True,qualifies,569,0.1888204060295246,8
WDBC__08,Binned,bins_64,130,0.0019102562203791307,77.15289982425307,True,qualifies,569,0.10563776526458879,9
WDBC__08,Density,density_64,130,0.0031276926538312544,77.15289982425307,True,qualifies,569,0.17296238005162964,10
WDBC__08,Density,density_128,258,0.0031128095201981287,54.65729349736379,True,qualifies,569,0.17213933811601664,11
WDBC__08,Density,density_256,514,0.0031232678210848797,9.666080843585235,True,qualifies,569,0.1727176854195641,12
WDBC__08,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,13
WDBC__08,Binned,bins_4,10,0.01833325471698115,0.0,False,does_not_qualify,569,1.0138347084895207,14
WDBC__09,Means,means,2,0.0037081152251021293,99.64850615114236,True,qualifies,569,0.7203657681539161,1
WDBC__09,Five-number,five_number,10,0.002003567415730337,98.24253075571178,True,qualifies,569,0.38922775935070597,2
WDBC__09,Binned,bins_4,10,0.003057869747899178,98.24253075571178,True,qualifies,569,0.5940442937016186,3
WDBC__09,Binned,bins_8,18,0.001422056869259336,96.8365553602812,True,qualifies,569,0.2762592386687068,4
WDBC__09,Density,density_8,18,0.002041565167647752,96.8365553602812,True,qualifies,569,0.3966094824327758,5
WDBC__09,Binned,bins_16,34,0.0011579592271025035,94.02460456942003,True,qualifies,569,0.2249536860332153,6
WDBC__09,Density,density_16,34,0.001167226282148548,94.02460456942003,True,qualifies,569,0.22675397238396766,7
WDBC__09,Binned,bins_32,66,0.000907990692816163,88.40070298769771,True,qualifies,569,0.17639295793164214,8
WDBC__09,Density,density_32,66,0.0010350580413798632,88.40070298769771,True,qualifies,569,0.20107799671784932,9
WDBC__09,Density,density_64,130,0.0010273783486621085,77.15289982425307,True,qualifies,569,0.19958608306145556,10
WDBC__09,Binned,bins_64,130,0.001320208333333378,77.15289982425307,True,qualifies,569,0.25647339212300413,11
WDBC__09,Density,density_128,258,0.0010029689560642624,54.65729349736379,True,qualifies,569,0.19484413471802628,12
WDBC__09,Density,density_256,514,0.0009962859189197176,9.666080843585235,True,qualifies,569,0.193545838712109,13
WDBC__09,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,14
WDBC__10,Binned,bins_8,18,0.06145410717193098,96.8365553602812,True,qualifies,569,0.34819841308975436,1
WDBC__10,Binned,bins_16,34,0.052336803909952434,94.02460456942003,True,qualifies,569,0.2965398556137298,2
WDBC__10,Density,density_16,34,0.1076152009526462,94.02460456942003,True,qualifies,569,0.609746751201056,3
WDBC__10,Binned,bins_32,66,0.04571084493483468,88.40070298769771,True,qualifies,569,0.25899723223985055,4
WDBC__10,Density,density_32,66,0.05375507449156869,88.40070298769771,True,qualifies,569,0.30457576384796775,5
