key,H,primary,best_score,families,n_tied
Cleveland__04,128,True,92.19402265523766,Violin plot,1
Cleveland__04,256,True,92.83687445489483,Violin plot,1
Cleveland__04,512,True,95.35630416471353,Heatmap,1
HeartFailure__00,128,True,96.27279347388195,Heatmap,1
HeartFailure__00,256,True,96.27279347388195,Heatmap,1
HeartFailure__00,512,True,96.35844820115653,Heatmap,1
HeartFailure__01,128,True,97.08634523374506,Heatmap,1
HeartFailure__01,256,True,97.49433026602941,Histogram,1
HeartFailure__01,512,True,97.12885923422243,Histogram,1
HeartFailure__02,128,True,91.99931251321837,Dot plot,1
HeartFailure__02,256,True,96.30819039493171,Heatmap,1
HeartFailure__02,512,True,97.01826637048951,Histogram,1
HeartFailure__03,128,True,97.39218904166894,Violin plot,1
HeartFailure__03,256,True,97.79521929146881,Dot plot,1
HeartFailure__03,512,True,98.28030481976809,Dot plot,1
HeartFailure__04,128,True,94.56378563499835,Heatmap,1
HeartFailure__04,256,True,96.07903379672797,Dot plot,1
HeartFailure__04,512,True,96.30516684613715,Dot plot,1
HeartFailure__05,128,True,91.50487882373307,Violin plot,1
HeartFailure__05,256,True,91.51466535084079,Violin plot,1
HeartFailure__05,512,True,94.34837289181182,Dot plot,1
CKD__00,128,True,97.56163008579415,Heatmap,1
CKD__00,256,True,98.679722186018,Heatmap,1
CKD__00,512,True,98.66457295668626,Heatmap,1
CKD__01,128,True,92.4740156303452,Dot plot,1
CKD__01,256,True,95.67973291320519,Dot plot,1
CKD__01,512,True,97.6105877127985,Dot plot,1
CKD__02,128,True,98.40785711438784,Heatmap,1
CKD__02,256,True,98.70120405046498,Heatmap,1
CKD__02,512,True,98.95128707385014,Heatmap,1
CKD__03,128,True,97.30455351446027,Heatmap,1
CKD__03,256,True,98.32467982963557,Dot plot,1
CKD__03,512,True,98.70566633370395,Dot plot,1
CKD__04,128,True,90.8509988910102,Heatmap,1
CKD__04,256,True,95.22207810853642,Heatmap,1
CKD__04,512,True,98.55220700221568,Dot plot,1
CKD__05,128,True,93.51537997887077,Histogram,1
CKD__05,256,True,94.24267842122289,Dot plot,1
CKD__05,512,True,93.62507532802115,Dot plot,1
CKD__06,128,True,94.95801495526234,Histogram,1
CKD__06,256,True,97.12351407858338,Dot plot,1
CKD__06,512,True,98.80282413190994,Dot plot,1
CKD__07,128,True,95.2700208286551,Heatmap,1
CKD__07,256,True,96.41358243428554,Dot plot,1
CKD__07,512,True,97.71991044275639,Dot plot,1
CKD__08,128,True,96.64718819133434,Heatmap,1
CKD__08,256,True,98.98606950864504,Heatmap,1
CKD__08,512,True,98.82606479327966,Heatmap,1
CKD__09,128,True,95.00022897561165,Heatmap,1
CKD__09,256,True,96.15578709451357,Dot plot,1
CKD__09,512,True,96.55022808480668,Dot plot,1
CKD__10,128,True,95.5573305415604,Heatmap,1
CKD__10,256,True,95.5573305415604,Heatmap,1
CKD__10,512,True,95.5573305415604,Heatmap,1
ILPD__00,128,True,95.9448005515535,Violin plot,1
ILPD__00,256,True,96.81293466743762,Histogram,1
ILPD__00,512,True,97.02606494842784,Dot plot,1
ILPD__01,128,True,94.18129581732987,Heatmap,1
ILPD__01,256,True,96.34226303232555,Heatmap,1
ILPD__01,512,True,94.76868466431928,Heatmap,1
ILPD__02,128,True,95.20966241646589,Heatmap,1
ILPD__02,256,True,96.15685051281496,Heatmap,1
ILPD__02,512,True,96.15685051281496,Heatmap,1
ILPD__03,128,True,96.74031066268317,Heatmap,1
ILPD__03,256,True,97.53977972804239,Heatmap,1
ILPD__03,512,True,98.87450658981071,Dot plot,1
ILPD__04,128,True,98.09463246525625,Heatmap,1
ILPD__04,256,True,98.17749589422334,Heatmap,1
ILPD__04,512,True,98.99220650071882,Dot plot,1
ILPD__05,128,True,96.27189023073633,Heatmap,1
ILPD__05,256,True,96.36292699795689,Heatmap,1
ILPD__05,512,True,97.03855045217712,Histogram,1
ILPD__06,128,True,96.77952011600314,Violin plot,1
ILPD__06,256,True,97.16252708792402,Dot plot,1
ILPD__06,512,True,98.20124150048397,Dot plot,1
ILPD__07,128,True,95.15305657170097,Violin plot,1
ILPD__07,256,True,95.60650655200736,Histogram,1
ILPD__07,512,True,96.8313513342195,Dot plot,1
ILPD__08,128,True,92.48651071916073,Histogram,1
ILPD__08,256,True,95.83264859839964,Heatmap,1
ILPD__08,512,True,96.22614107680934,Dot plot,1
Parkinsons__00,128,False,94.60543969784796,Dot plot,1
Parkinsons__00,256,False,95.15409221347116,Dot plot,1
Parkinsons__00,512,False,95.00799122767812,Heatmap,1
Parkinsons__01,128,False,90.94228343784299,Histogram,1
Parkinsons__01,256,False,96.1381453457828,Heatmap,1
Parkinsons__01,512,False,95.3528155189419,Heatmap,1
Parkinsons__02,128,False,95.4291980050881,Heatmap,1
Parkinsons__02,256,False,88.36542613696294,Heatmap,1
Parkinsons__02,512,False,88.36542613696294,Heatmap,1
Parkinsons__03,128,False,91.60406529513553,Histogram,1
Parkinsons__03,256,False,92.25294673017225,Dot plot,1
Parkinsons__03,512,False,92.49036583219618,Dot plot,1
Parkinsons__04,128,False,94.20476144539516,Heatmap,1
Parkinsons__04,256,False,91.27865425390617,Histogram,1
Parkinsons__04,512,False,95.61391222817771,Histogram,1
Parkinsons__05,128,False,93.94283995641153,Histogram,1
Parkinsons__05,256,False,93.9683226339152,Histogram,1
Parkinsons__05,512,False,93.93917040975127,Histogram,1
Parkinsons__06,128,False,97.0866523646851,Histogram,1
Parkinsons__06,256,False,97.1323304747483,Histogram,1
Parkinsons__06,512,False,98.0365467921327,Histogram,1
Parkinsons__07,128,False,93.941983566335,Histogram,1
Parkinsons__07,256,False,93.96746614673673,Histogram,1
Parkinsons__07,512,False,93.9383140336636,Histogram,1
Parkinsons__08,128,False,94.90623110466493,Dot plot,1
Parkinsons__08,256,False,95.59699057873779,Histogram,1
Parkinsons__08,512,False,95.5442977565652,Histogram,1
Parkinsons__09,128,False,95.33660633394793,Heatmap,1
Parkinsons__09,256,False,95.33660633394793,Heatmap,1
Parkinsons__09,512,False,95.33660633394793,Heatmap,1
Parkinsons__10,128,False,95.3141484171047,Dot plot,1
Parkinsons__10,256,False,94.81276831494257,Dot plot,1
Parkinsons__10,512,False,94.24524162102686,Dot plot,1
Parkinsons__11,128,False,94.81670426803962,Violin plot,1
Parkinsons__11,256,False,94.98722432665052,Violin plot,1
Parkinsons__11,512,False,95.27126454532757,Dot plot,1
Parkinsons__12,128,False,97.95461410721497,Histogram,1
Parkinsons__12,256,False,97.11251496379273,Histogram,1
Parkinsons__12,512,False,98.16418817647717,Histogram,1
Parkinsons__13,128,False,95.33534689597624,Dot plot,1
Parkinsons__13,256,False,94.84375988864396,Dot plot,1
Parkinsons__13,512,False,94.15348977199352,Dot plot,1
Parkinsons__14,128,False,95.10728082645683,Violin plot,1
Parkinsons__14,256,False,95.69327362972821,Violin plot,1
Parkinsons__14,512,False,95.75391800957465,Violin plot,1
Parkinsons__15,128,False,84.38581971438313,Histogram,1
Parkinsons__15,256,False,85.12659018833065,Heatmap,1
Parkinsons__15,512,False,84.90258401055829,Heatmap,1
Parkinsons__16,128,False,90.1702167710796,Heatmap,1
Parkinsons__16,256,False,87.82871981285619,Violin plot,1
Parkinsons__16,512,False,87.91231092239805,Violin plot,1
Parkinsons__17,128,False,93.3446969312587,Heatmap,1
Parkinsons__17,256,False,92.88283629757049,Heatmap,1
Parkinsons__17,512,False,93.15634654345911,Heatmap,1
Parkinsons__18,128,False,95.2608423593207,Violin plot,1
Parkinsons__18,256,False,94.89882678303653,Violin plot,1
Parkinsons__18,512,False,94.82382252559886,Violin plot,1
Parkinsons__19,128,False,85.71143783372092,Heatmap,1
Parkinsons__19,256,False,85.71143783372092,Heatmap,1
Parkinsons__19,512,False,85.71143783372092,Heatmap,1
Parkinsons__20,128,False,87.94663568901348,Violin plot,1
Parkinsons__20,256,False,88.1553299163738,Violin plot,1
Parkinsons__20,512,False,88.04599426299524,Violin plot,1
Parkinsons__21,128,False,92.61725408038893,Histogram,1
Parkinsons__21,256,False,92.12495887292383,Heatmap,1
Parkinsons__21,512,False,92.24031765099309,Histogram,1
Retinopathy__00,128,True,97.10933021669248,Histogram,1
Retinopathy__00,256,True,98.48139298124404,Heatmap,1
Retinopathy__00,512,True,98.54284035198052,Dot plot,1
Retinopathy__01,128,True,96.5213374666473,Heatmap,1
Retinopathy__01,256,True,97.69938373762295,Dot plot,1
Retinopathy__01,512,True,98.37493289898214,Dot plot,1
Retinopathy__02,128,True,97.80483267343823,Heatmap,1
Retinopathy__02,256,True,97.71727616505021,Heatmap,1
Retinopathy__02,512,True,98.29738510514571,Dot plot,1
Retinopathy__03,128,True,98.20282928601141,Heatmap,1
Retinopathy__03,256,True,97.77509739257604,Histogram,1
Retinopathy__03,512,True,98.1960528121923,Dot plot,1
Retinopathy__04,128,True,97.77670817384856,Heatmap,1
Retinopathy__04,256,True,97.73111363542803,Dot plot,1
Retinopathy__04,512,True,98.3460843233747,Dot plot,1
Retinopathy__05,128,True,95.10212951686067,Heatmap,1
Retinopathy__05,256,True,96.11088759207851,Dot plot,1
Retinopathy__05,512,True,97.014176248392,Dot plot,1
Retinopathy__06,128,True,98.23594483206719,Heatmap,1
Retinopathy__06,256,True,98.14206500633276,Heatmap,1
Retinopathy__06,512,True,98.14206500633276,Heatmap,1
Retinopathy__07,128,True,99.28318815725882,Heatmap,1
Retinopathy__07,256,True,99.28318815725882,Heatmap,1
Retinopathy__07,512,True,99.28318815725882,Heatmap,1
Retinopathy__08,128,True,99.01870930070586,Heatmap,1
Retinopathy__08,256,True,99.33826441189495,Heatmap,1
Retinopathy__08,512,True,99.33826441189495,Heatmap,1
Retinopathy__09,128,True,98.33697336965632,Heatmap,1
Retinopathy__09,256,True,98.66259943207237,Heatmap,1
Retinopathy__09,512,True,98.66259943207237,Heatmap,1
Retinopathy__10,128,True,93.4865290937852,Heatmap,1
Retinopathy__10,256,True,93.37516852504775,Heatmap,1
Retinopathy__10,512,True,93.67010646520484,Heatmap,1
Retinopathy__11,128,True,94.76861096686505,Heatmap,1
Retinopathy__11,256,True,92.4124931794548,Heatmap,1
Retinopathy__11,512,True,92.6465333459123,Heatmap,1
Retinopathy__12,128,True,93.32694983127611,Heatmap,1
Retinopathy__12,256,True,92.81185214770218,Heatmap,1
Retinopathy__12,512,True,92.81185214770218,Heatmap,1
Retinopathy__13,128,True,96.92011688725466,Heatmap,1
Retinopathy__13,256,True,95.55551559212775,Heatmap,1
Retinopathy__13,512,True,96.1334721823722,Heatmap,1
Retinopathy__14,128,True,97.63863250618188,Histogram,1
Retinopathy__14,256,True,98.06566642461098,Histogram,1
Retinopathy__14,512,True,98.8540761297705,Dot plot,1
Retinopathy__15,128,True,97.80540819930903,Heatmap,1
Retinopathy__15,256,True,98.09001015064258,Heatmap,1
Retinopathy__15,512,True,98.69254168522929,Dot plot,1
HAR__00,128,True,89.03890011184232,Histogram,1
HAR__00,256,True,94.47874140455306,Heatmap,1
HAR__00,512,True,95.24411649275605,Dot plot,1
HAR__01,128,True,95.650340000643,Heatmap,1
HAR__01,256,True,96.17572303927093,Heatmap,1
HAR__01,512,True,96.17572303927093,Heatmap,1
HAR__02,128,True,92.00636711882312,Heatmap,1
HAR__02,256,True,92.48978876045722,Dot plot,1
HAR__02,512,True,91.2944543629462,Histogram,1
HAR__03,128,True,92.15538317720421,Dot plot,1
HAR__03,256,True,91.6755389738812,Histogram,1
HAR__03,512,True,93.93095612000747,Histogram,1
HAR__04,128,True,96.24070305085249,Heatmap,1
HAR__04,256,True,95.52472879523734,Heatmap,1
HAR__04,512,True,95.52472879523734,Heatmap,1
HAR__05,128,True,91.51374564512325,Dot plot,1
HAR__05,256,True,92.90583952832574,Dot plot,1
HAR__05,512,True,94.0063206092911,Dot plot,1
HAR__06,128,True,92.62539632066152,Histogram,1
HAR__06,256,True,93.4565256883306,Histogram,1
HAR__06,512,True,95.18721859834758,Histogram,1
HAR__07,128,True,94.23609617204234,Dot plot,1
HAR__07,256,True,96.55871743126497,Heatmap,1
HAR__07,512,True,96.97027146981168,Histogram,1
HAR__08,128,True,93.51238060624489,Histogram,1
HAR__08,256,True,94.44193198707481,Histogram,1
HAR__08,512,True,93.97160403529416,Histogram,1
HAR__09,128,True,70.02522164464273,Violin plot,1
HAR__09,256,True,81.01481670634064,Violin plot,1
HAR__09,512,True,89.319945249594,Violin plot,1
HAR__10,128,True,80.18461028741248,Violin plot,1
HAR__10,256,True,86.54507329158764,Violin plot,1
HAR__10,512,True,87.83284563255995,Violin plot,1
HAR__11,128,True,86.5686882068848,Violin plot,1
HAR__11,256,True,87.88244564807806,Violin plot,1
HAR__11,512,True,93.18577642609614,Dot plot,1
HAR__12,128,True,91.91050430696768,Dot plot,1
HAR__12,256,True,93.2440143922315,Dot plot,1
HAR__12,512,True,92.59524544710558,Histogram,1
HAR__13,128,True,96.14985761010452,Violin plot,1
HAR__13,256,True,95.7802216679425,Violin plot,1
HAR__13,512,True,96.20114322647177,Violin plot,1
HAR__14,128,True,93.66325515934683,Dot plot,1
HAR__14,256,True,94.88974423067748,Histogram,1
HAR__14,512,True,95.91702452497648,Histogram,1
HAR__15,128,True,92.41865479545974,Dot plot,1
HAR__15,256,True,95.70303087113892,Dot plot,1
HAR__15,512,True,95.07832478176567,Dot plot,1
