key,primary,dataset,feature,family,setting,H,loss,successful,loss_min,loss_max,score,placement_score_min,placement_score_max
WDBC__00,True,WDBC,mean radius,Bar chart,means,128,0.43611357030678,4,0.42396703191235563,0.4482601087012044,69.6323759259779,69.04837010920623,70.2263449636908
WDBC__00,True,WDBC,mean radius,Box plot,five,128,0.4751378573547968,4,0.2284507708002126,0.5793370394670954,67.79027431328964,63.31770705114489,81.40334344441008
WDBC__00,True,WDBC,mean radius,Interval plot,five,128,0.469551910233224,4,0.22452774418316668,0.5624424856010689,68.04795346367152,64.00235587649817,81.66413580666233
WDBC__00,True,WDBC,mean radius,Dot plot,raw,128,0.06332565921761008,4,0.04598958075170682,0.07717314906475747,94.0445658704216,92.83558552014017,95.60324676287348
WDBC__00,True,WDBC,mean radius,Histogram,32,128,0.033525027553297136,4,0.016438252948198003,0.05370034791199152,96.75624424570904,94.90364143673257,98.38275931661187
WDBC__00,True,WDBC,mean radius,Heatmap,32,128,0.0096873011161823,4,0.0096873011161823,0.0096873011161823,99.04056423157218,99.04056423157218,99.04056423157218
WDBC__00,True,WDBC,mean radius,Violin plot,128,128,0.05968263201528051,4,0.05750546779378046,0.06129586588964068,94.36787673854978,94.22443186111359,94.5621588213864
WDBC__00,True,WDBC,mean radius,Bar chart,means,256,0.4323527174147821,4,0.42671143807678596,0.4379939967527783,69.81520597837627,69.54131952276302,70.09125835200459
WDBC__00,True,WDBC,mean radius,Box plot,five,256,0.47791470536392455,4,0.361020684986387,0.5776733286722306,67.6629034389206,63.384477751271845,73.47426905638852
WDBC__00,True,WDBC,mean radius,Interval plot,five,256,0.47631317890286284,4,0.3619940037811076,0.5745125690345784,67.73630516142653,63.51171909749541,73.42176230026301
WDBC__00,True,WDBC,mean radius,Dot plot,raw,256,0.020465471433073167,4,0.016960383209010055,0.028732396296540525,97.99449643265902,97.20700967521022,98.3322474022546
WDBC__00,True,WDBC,mean radius,Histogram,32,256,0.029231572212885103,4,0.02270287391320563,0.035486340889723175,97.1598644073815,96.57297836886653,97.78011048054097
WDBC__00,True,WDBC,mean radius,Heatmap,32,256,0.00986830890840773,4,0.00986830890840773,0.00986830890840773,99.02281229925171,99.02281229925171,99.02281229925171
WDBC__00,True,WDBC,mean radius,Violin plot,128,256,0.06064456216599694,4,0.06027768205438377,0.060953323805523756,94.28229169985545,94.25485340044077,94.31491550990772
