figure,panel,key,selected_family,selected_setting,baseline_score,best_score,gain
2,a,WDBC__29,Violin plot,256,71.86502877400251,97.56562206103531,25.700593287032802
2,b,HAR__29,Histogram,32,48.14805171496717,94.96043083200549,46.81237911703832
2,c,Cleveland__04,Violin plot,256,64.21952736947868,92.83687445489484,28.617347085416156
3,a,Wrist__00,Bar chart,means,95.34774526036328,95.34774526036328,0.0
3,b,BIDMC__00,Violin plot,128,95.37712648828273,98.0194988849531,2.6423723966703676
