key,primary,dataset,feature,family,setting,H,phase,loss,score,decode_failure,scale,constant_scale_fallback
WDBC__00,True,WDBC,mean radius,Bar chart,means,128,0.0,0.4482601087012044,69.04837010920623,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Bar chart,means,128,0.25,0.42396703191235563,70.2263449636908,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Bar chart,means,128,0.5,0.42396703191235563,70.2263449636908,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Bar chart,means,128,0.75,0.4482601087012042,69.04837010920623,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Bar chart,means,256,0.0,0.42671143807678596,70.09125835200459,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Bar chart,means,256,0.25,0.42671143807678596,70.09125835200459,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Bar chart,means,256,0.5,0.4379939967527783,69.54131952276302,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Bar chart,means,256,0.75,0.4379939967527783,69.54131952276302,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Bar chart,means,512,0.0,0.42794226265962165,70.03084271330722,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Bar chart,means,512,0.25,0.43338980109106046,69.76469340292675,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Bar chart,means,512,0.5,0.42794226265962165,70.03084271330722,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Bar chart,means,512,0.75,0.42794226265962165,70.03084271330722,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Box plot,five,128,0.0,0.5793370394670954,63.31770705114489,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Box plot,five,128,0.25,0.2284507708002126,81.40334344441008,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Box plot,five,128,0.5,0.540428803135108,64.91698921526151,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Box plot,five,128,0.75,0.5523348160167713,64.41909243303323,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Box plot,five,256,0.0,0.5762527215587698,63.441603387754434,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Box plot,five,256,0.25,0.5776733286722306,63.384477751271845,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Box plot,five,256,0.5,0.361020684986387,73.47426905638852,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Box plot,five,256,0.75,0.3967120862383106,71.59671702227809,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Box plot,five,512,0.0,0.36848785601673056,73.07335579218866,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Box plot,five,512,0.25,0.5842103779017069,63.12292950160471,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Box plot,five,512,0.5,0.5782550913336395,63.361113516509626,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Box plot,five,512,0.75,0.39944539970612536,71.45687857561242,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Interval plot,five,128,0.0,0.5624424856010689,64.00235587649817,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Interval plot,five,128,0.25,0.22452774418316668,81.66413580666233,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Interval plot,five,128,0.5,0.5455275043638028,64.70282781616608,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Interval plot,five,128,0.75,0.5457099067848576,64.69519252031208,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Interval plot,five,256,0.0,0.5738017261884333,63.54040558983785,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Interval plot,five,256,0.25,0.5745125690345784,63.51171909749541,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Interval plot,five,256,0.5,0.3619940037811076,73.42176230026301,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Interval plot,five,256,0.75,0.3949444166073322,71.68744418018582,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Interval plot,five,512,0.0,0.36886795222247976,73.0530653724788,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Interval plot,five,512,0.25,0.5782550913336395,63.361113516509626,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Interval plot,five,512,0.5,0.5782550913336395,63.361113516509626,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Interval plot,five,512,0.75,0.39944539970612564,71.45687857561242,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,means,128,0.0,0.42396703191235563,70.2263449636908,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,means,128,0.25,0.43206472417530517,69.82924606119869,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,means,128,0.5,0.43530380108048494,69.67166109691956,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,means,128,0.75,0.4288256472701253,69.9875455000806,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,means,256,0.0,0.43047229096878364,69.90698151327018,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,means,256,0.25,0.43197663212558257,69.83354180267804,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,means,256,0.5,0.42896794981198444,69.98057585067421,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,means,256,0.75,0.42671143807678596,70.09125835200459,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,means,512,0.0,0.4272159242020969,70.06648279650204,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,means,512,0.25,0.42794226265962165,70.03084271330722,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,means,512,0.5,0.42794226265962165,70.03084271330722,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,means,512,0.75,0.4286686011171469,69.99523886911565,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,raw,128,0.0,0.07271680726507665,93.22124844389543,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,raw,128,0.25,0.05742309978889934,94.56952474365625,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,raw,128,0.5,0.07717314906475747,92.83558552014017,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,raw,128,0.75,0.04598958075170682,95.60324676287348,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,raw,256,0.0,0.017145923140148442,98.31431039046832,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,raw,256,0.25,0.016960383209010055,98.3322474022546,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,raw,256,0.5,0.019023183086593645,98.1331942783703,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,raw,256,0.75,0.028732396296540525,97.20700967521022,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,raw,512,0.0,0.028579102325295022,97.22149689210225,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,raw,512,0.25,0.027257118727454264,97.34661184327253,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,raw,512,0.5,0.0097674179620994,99.03270616694962,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Dot plot,raw,512,0.75,0.019150094974799498,98.1209740283375,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,4,128,0.0,0.4827063021393926,67.44424020840155,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,4,128,0.25,0.48246122566963706,67.45538990730053,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,4,128,0.5,0.48395765129722496,67.38736776793019,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,4,128,0.75,0.48217200823947376,67.4685525324285,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,4,256,0.0,0.4882485658416659,67.19307667764885,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,4,256,0.25,0.4799448137463898,67.57008712159754,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,4,256,0.5,0.4806167104572141,67.53942414247102,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,4,256,0.75,0.48051434678904387,67.5440938595976,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,4,512,0.0,0.48317208623196783,67.4230596221995,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,4,512,0.25,0.48345549375374314,67.41017874891514,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,4,512,0.5,0.4794588488170349,67.59228219153194,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,4,512,0.75,0.483041640187915,67.42899005002252,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,8,128,0.0,0.16385099853251175,85.92165159121657,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,8,128,0.25,0.1608777617573075,86.14171387745641,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,8,128,0.5,0.1622370607347461,86.04096649334322,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,8,128,0.75,0.15589275958821835,86.513216014628,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,8,256,0.0,0.16356151684968187,85.9430279808049,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,8,256,0.25,0.1607327805959352,86.15247339586524,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,8,256,0.5,0.1607327805959352,86.15247339586524,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,8,256,0.75,0.1608965809679224,86.14031744035533,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,8,512,0.0,0.16433436441125324,85.88598177342735,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,8,512,0.25,0.1639873497842384,85.91158659802997,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,8,512,0.5,0.16262787323722105,86.01204418191007,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,8,512,0.75,0.16142385681028928,86.10121052157302,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,16,128,0.0,0.06949495426714764,93.50207740673561,,2.410516653707913,False
