key,primary,dataset,feature,family,setting,H,loss,successful,loss_min,loss_max,score,placement_score_min,placement_score_max
WDBC__00,True,WDBC,mean radius,Bar chart,means,128,0.43611357030678,4,0.42396703191235563,0.4482601087012044,69.6323759259779,69.04837010920623,70.2263449636908
WDBC__00,True,WDBC,mean radius,Bar chart,means,256,0.4323527174147821,4,0.42671143807678596,0.4379939967527783,69.81520597837627,69.54131952276302,70.09125835200459
WDBC__00,True,WDBC,mean radius,Bar chart,means,512,0.42930414726748134,4,0.42794226265962165,0.43338980109106046,69.96411518932359,69.76469340292675,70.03084271330722
WDBC__00,True,WDBC,mean radius,Box plot,five,128,0.4751378573547968,4,0.2284507708002126,0.5793370394670954,67.79027431328964,63.31770705114489,81.40334344441008
WDBC__00,True,WDBC,mean radius,Box plot,five,256,0.47791470536392455,4,0.361020684986387,0.5776733286722306,67.6629034389206,63.384477751271845,73.47426905638852
WDBC__00,True,WDBC,mean radius,Box plot,five,512,0.4825996812395506,4,0.36848785601673056,0.5842103779017069,67.44909044927991,63.12292950160471,73.07335579218866
WDBC__00,True,WDBC,mean radius,Interval plot,five,128,0.469551910233224,4,0.22452774418316668,0.5624424856010689,68.04795346367152,64.00235587649817,81.66413580666233
WDBC__00,True,WDBC,mean radius,Interval plot,five,256,0.47631317890286284,4,0.3619940037811076,0.5745125690345784,67.73630516142653,63.51171909749541,73.42176230026301
WDBC__00,True,WDBC,mean radius,Interval plot,five,512,0.4812058836489711,4,0.36886795222247976,0.5782550913336395,67.512559262625,63.361113516509626,73.0530653724788
WDBC__00,True,WDBC,mean radius,Dot plot,means,128,0.43004030110956776,4,0.42396703191235563,0.43530380108048494,69.92809917483447,69.67166109691956,70.2263449636908
WDBC__00,True,WDBC,mean radius,Dot plot,means,256,0.42953207774578417,4,0.42671143807678596,0.43197663212558257,69.95295982283173,69.83354180267804,70.09125835200459
WDBC__00,True,WDBC,mean radius,Dot plot,means,512,0.42794226265962176,4,0.4272159242020969,0.4286686011171469,70.03084271330722,69.99523886911565,70.06648279650204
WDBC__00,True,WDBC,mean radius,Dot plot,raw,128,0.06332565921761008,4,0.04598958075170682,0.07717314906475747,94.0445658704216,92.83558552014017,95.60324676287348
WDBC__00,True,WDBC,mean radius,Dot plot,raw,256,0.020465471433073167,4,0.016960383209010055,0.028732396296540525,97.99449643265902,97.20700967521022,98.3322474022546
WDBC__00,True,WDBC,mean radius,Dot plot,raw,512,0.021188433497412045,4,0.0097674179620994,0.028579102325295022,97.9251201049306,97.22149689210225,99.03270616694962
WDBC__00,True,WDBC,mean radius,Histogram,4,128,0.4828242968364321,4,0.48217200823947376,0.48395765129722496,67.43887338058019,67.38736776793019,67.4685525324285
WDBC__00,True,WDBC,mean radius,Histogram,4,256,0.4823311092085784,4,0.4799448137463898,0.4882485658416659,67.46131102476176,67.19307667764885,67.57008712159754
WDBC__00,True,WDBC,mean radius,Histogram,4,512,0.48228201724766523,4,0.4794588488170349,0.48345549375374314,67.46354528788136,67.41017874891514,67.59228219153194
WDBC__00,True,WDBC,mean radius,Histogram,8,128,0.16071464515319595,4,0.15589275958821835,0.16385099853251175,86.15381947455447,85.92165159121657,86.513216014628
WDBC__00,True,WDBC,mean radius,Histogram,8,256,0.16148091475236867,4,0.1607327805959352,0.16356151684968187,86.09698078536255,85.9430279808049,86.15247339586524
WDBC__00,True,WDBC,mean radius,Histogram,8,512,0.1630933610607505,4,0.16142385681028928,0.16433436441125324,85.97762084102963,85.88598177342735,86.10121052157302
WDBC__00,True,WDBC,mean radius,Histogram,16,128,0.07163102864183629,4,0.06926118149056346,0.07547709560102622,93.31570039245504,92.98198949008336,93.52251978379945
WDBC__00,True,WDBC,mean radius,Histogram,16,256,0.07036899720063161,4,0.06684694739824913,0.07434653672983722,93.42572539146128,93.07983651567977,93.73415769138481
WDBC__00,True,WDBC,mean radius,Histogram,16,512,0.06853503337355442,4,0.06457786181319329,0.0709770186214755,93.58607521204269,93.37268518489456,93.93394657829873
WDBC__00,True,WDBC,mean radius,Histogram,32,128,0.033525027553297136,4,0.016438252948198003,0.05370034791199152,96.75624424570904,94.90364143673257,98.38275931661187
WDBC__00,True,WDBC,mean radius,Histogram,32,256,0.029231572212885103,4,0.02270287391320563,0.035486340889723175,97.1598644073815,96.57297836886653,97.78011048054097
WDBC__00,True,WDBC,mean radius,Histogram,32,512,0.019509306574866783,4,0.012237171282206005,0.02422909958802536,98.0864023065753,97.63440624780422,98.7910766735917
WDBC__00,True,WDBC,mean radius,Histogram,64,128,0.07238915377285947,4,0.04868891537796729,0.10255395370764137,93.24973089123652,90.69850927813778,95.35716315258097
WDBC__00,True,WDBC,mean radius,Histogram,64,256,0.03267043544787589,4,0.02699538593047097,0.04035160571514719,96.83631540843845,96.12134921564243,97.37142091383275
WDBC__00,True,WDBC,mean radius,Histogram,64,512,0.026867126548206246,4,0.022431197771170305,0.03447555439068217,97.3835829530818,96.66733986662558,97.80609220257865
WDBC__00,True,WDBC,mean radius,Heatmap,4,128,0.47884014509627215,4,0.47884014509627215,0.47884014509627215,67.62056083721612,67.62056083721612,67.62056083721612
WDBC__00,True,WDBC,mean radius,Heatmap,4,256,0.47884014509627215,4,0.47884014509627215,0.47884014509627215,67.62056083721612,67.62056083721612,67.62056083721612
WDBC__00,True,WDBC,mean radius,Heatmap,4,512,0.47884014509627215,4,0.47884014509627215,0.47884014509627215,67.62056083721612,67.62056083721612,67.62056083721612
WDBC__00,True,WDBC,mean radius,Heatmap,8,128,0.1647294089215872,4,0.1647294089215872,0.1647294089215872,85.85685158631749,85.85685158631749,85.85685158631749
WDBC__00,True,WDBC,mean radius,Heatmap,8,256,0.1647294089215872,4,0.1647294089215872,0.1647294089215872,85.85685158631749,85.85685158631749,85.85685158631749
WDBC__00,True,WDBC,mean radius,Heatmap,8,512,0.1647294089215872,4,0.1647294089215872,0.1647294089215872,85.85685158631749,85.85685158631749,85.85685158631749
WDBC__00,True,WDBC,mean radius,Heatmap,16,128,0.06374067473960797,4,0.06374067473960797,0.06374067473960797,94.0078746396333,94.0078746396333,94.0078746396333
WDBC__00,True,WDBC,mean radius,Heatmap,16,256,0.06374067473960797,4,0.06374067473960797,0.06374067473960797,94.0078746396333,94.0078746396333,94.0078746396333
WDBC__00,True,WDBC,mean radius,Heatmap,16,512,0.06374067473960797,4,0.06374067473960797,0.06374067473960797,94.0078746396333,94.0078746396333,94.0078746396333
WDBC__00,True,WDBC,mean radius,Heatmap,32,128,0.0096873011161823,4,0.0096873011161823,0.0096873011161823,99.04056423157218,99.04056423157218,99.04056423157218
WDBC__00,True,WDBC,mean radius,Heatmap,32,256,0.00986830890840773,4,0.00986830890840773,0.00986830890840773,99.02281229925171,99.02281229925171,99.02281229925171
WDBC__00,True,WDBC,mean radius,Heatmap,32,512,0.00986830890840773,4,0.00986830890840773,0.00986830890840773,99.02281229925171,99.02281229925171,99.02281229925171
WDBC__00,True,WDBC,mean radius,Heatmap,64,128,0.03532132103546462,4,0.03532132103546462,0.03532132103546462,96.58837113485325,96.58837113485325,96.58837113485325
WDBC__00,True,WDBC,mean radius,Heatmap,64,256,0.02102207503997986,4,0.02102207503997986,0.02102207503997986,97.94107536419752,97.94107536419752,97.94107536419752
WDBC__00,True,WDBC,mean radius,Heatmap,64,512,0.018955077061083257,4,0.018955077061083257,0.018955077061083257,98.13975341133248,98.13975341133248,98.13975341133248
WDBC__00,True,WDBC,mean radius,Violin plot,8,128,0.24697932284066199,4,0.2455734135044959,0.2476717803590299,80.19379164379129,80.14928410997965,80.2843083481077
WDBC__00,True,WDBC,mean radius,Violin plot,8,256,0.24823691586558952,4,0.24653985203047452,0.24962437373730606,80.11299676284212,80.02404730705247,80.22206416995907
WDBC__00,True,WDBC,mean radius,Violin plot,8,512,0.243717171307007,4,0.24362430409291794,0.24378438332856303,80.40413231161811,80.39978740719049,80.4101364623447
WDBC__00,True,WDBC,mean radius,Violin plot,16,128,0.08347095027145626,4,0.08098979547796348,0.08623124057495188,92.2959678567715,92.06142878662659,92.50781128399518
WDBC__00,True,WDBC,mean radius,Violin plot,16,256,0.07849459010574025,4,0.07794395273540289,0.07888169741456398,92.72183738093258,92.688568394144,92.76920172541332
WDBC__00,True,WDBC,mean radius,Violin plot,16,512,0.0790531339386634,4,0.07891910229452581,0.07915583273662281,92.67384232969968,92.66502294336007,92.6853549884612
WDBC__00,True,WDBC,mean radius,Violin plot,32,128,0.061819464519323686,4,0.061275109307617794,0.06279179904469873,94.17796842259726,94.0918062125489,94.22627471706238
WDBC__00,True,WDBC,mean radius,Violin plot,32,256,0.060992128311044086,4,0.06085474381933109,0.06115375586876839,94.25140614302809,94.23705042454458,94.26361203794599
WDBC__00,True,WDBC,mean radius,Violin plot,32,512,0.06202494319777906,4,0.06191035652950436,0.06216762905751815,94.15974703842447,94.14709812681068,94.16990745510408
WDBC__00,True,WDBC,mean radius,Violin plot,64,128,0.06092805377857607,4,0.05796313426381154,0.06366250307118562,94.25709843739392,94.01478355330111,94.52125198066136
WDBC__00,True,WDBC,mean radius,Violin plot,64,256,0.062099359817826695,4,0.06166015699703008,0.06255848577645975,94.15314968003764,94.11246659700379,94.19210030717932
WDBC__00,True,WDBC,mean radius,Violin plot,64,512,0.06445764803433715,4,0.06426044764841227,0.06461946259017361,93.9445549427573,93.93027604126668,93.96196224426059
WDBC__00,True,WDBC,mean radius,Violin plot,128,128,0.05968263201528051,4,0.05750546779378046,0.06129586588964068,94.36787673854978,94.22443186111359,94.5621588213864
WDBC__00,True,WDBC,mean radius,Violin plot,128,256,0.06064456216599694,4,0.06027768205438377,0.060953323805523756,94.28229169985545,94.25485340044077,94.31491550990772
WDBC__00,True,WDBC,mean radius,Violin plot,128,512,0.0639184753741792,4,0.06380082786238306,0.06400309293354448,93.99216416918607,93.98468920263355,94.00255891973825
WDBC__00,True,WDBC,mean radius,Violin plot,256,128,0.06046607342796271,4,0.057978450627401555,0.06348489838974877,94.29816050290927,94.0304842611425,94.51988359564231
WDBC__00,True,WDBC,mean radius,Violin plot,256,256,0.06099659959473175,4,0.06084060698657421,0.06120659559792214,94.25100894592589,94.2323581617549,94.26486820113362
WDBC__00,True,WDBC,mean radius,Violin plot,256,512,0.06377252161359401,4,0.0634692586092174,0.06409939576462217,94.00506026261516,93.97618342612039,94.03186710895422
WDBC__01,True,WDBC,mean texture,Bar chart,means,128,0.0642961569597411,4,0.036759128156721034,0.09183318576276117,93.95880962838305,91.58908274998016,96.45441962762595
WDBC__01,True,WDBC,mean texture,Bar chart,means,256,0.06699230665918476,4,0.045617596732851096,0.07411720996796264,93.72138803240846,93.09970929800359,95.63725812616501
WDBC__01,True,WDBC,mean texture,Bar chart,means,512,0.0764921777375551,4,0.06617186324787094,0.0799322825674498,92.894311791627,92.5983986350128,93.79350876449767
WDBC__01,True,WDBC,mean texture,Box plot,five,128,0.5947416839624854,4,0.1654997942502816,0.7533691624439035,62.706080242116755,57.03305507016943,85.80010094667233
WDBC__01,True,WDBC,mean texture,Box plot,five,256,0.6079466769105262,4,0.33041259759693126,0.7546652465875133,62.19111705379299,56.99092758261485,75.16465206404827
WDBC__01,True,WDBC,mean texture,Box plot,five,512,0.6091726724302994,4,0.3326065728981359,0.7577129581242805,62.14373492247548,56.89211059052192,75.04090256925664
WDBC__01,True,WDBC,mean texture,Interval plot,five,128,0.5862534780221325,4,0.1654997942502816,0.7300488895778782,63.041626943940884,57.80183473566427,85.80010094667233
WDBC__01,True,WDBC,mean texture,Interval plot,five,256,0.6058540180147367,4,0.3278408009288657,0.7493928284909159,62.27216102969723,57.162690032440175,75.31023292103008
WDBC__01,True,WDBC,mean texture,Interval plot,five,512,0.6078692869394174,4,0.33190708372570427,0.7564279014247751,62.19411043689391,56.93373460924996,75.08031244962896
WDBC__01,True,WDBC,mean texture,Dot plot,means,128,0.07649217773755482,4,0.06319663744904229,0.09183318576276117,92.89431179162702,91.58908274998016,94.05597843117039
WDBC__01,True,WDBC,mean texture,Dot plot,means,256,0.0741172099679625,4,0.07031726153661341,0.07791715839931132,93.09970929800359,92.77150773673397,93.43024128792787
WDBC__01,True,WDBC,mean texture,Dot plot,means,512,0.0799322825674498,4,0.07809755999150614,0.08176700514339402,92.5983986350128,92.44134783602912,92.75598397680064
WDBC__01,True,WDBC,mean texture,Dot plot,raw,128,0.10441495266487202,4,0.0909466278319682,0.12168833948934654,90.54567738213554,89.15132348217637,91.6635126309794
WDBC__01,True,WDBC,mean texture,Dot plot,raw,256,0.03016537744046357,4,0.0166894585699277,0.05201409739244849,97.07179273337529,95.05576041981071,98.35845071184242
WDBC__01,True,WDBC,mean texture,Dot plot,raw,512,0.016292354860390552,4,0.009837830110312275,0.0192850931878439,98.39688306396552,98.10797849230492,99.0258009932904
WDBC__01,True,WDBC,mean texture,Histogram,4,128,0.6396199016633725,4,0.6294688622558561,0.6513755036304959,60.98974518335093,60.55557914002795,61.369690649724234
