H,family,loss,score
256,Scatter plot,0.001972906981588529,99.8030977716222
256,Heatmap,0.008004250944612545,99.20593083440752
384,Scatter plot,0.005514436983950231,99.45158052623384
384,Heatmap,0.008004250944612545,99.20593083440752
