figure,key,candidate,score,loss,mean_absolute_error,scale,before_score,gain
1,BIDMC__01,Dot plot / raw,98.36081425114898,0.01666502825673681,0.20567466609047572,12.341693210590991,,
2,Cleveland__03,Violin plot / 64,98.00891007447632,,,,85.67181732299771,12.337092751478608
2,HeartFailure__01,Histogram / 8,97.4943302660294,,,,85.40847111221765,12.08585915381174
3,Wrist__00,Bar chart / means,95.34774526036333,,,,95.34774526036333,0.0
