key,dataset,feature,family,configuration,retained_values,error,error_ratio,qualifies,retention_cost,score,selected,status
WDBC__03,WDBC,mean area,Raincloud,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__03,WDBC,mean area,Area,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__03,WDBC,mean area,Bar,Mean bars,2.0,478.1937809840915,1.7373812947859444,False,,0.0,False,exceeds tolerance
WDBC__03,WDBC,mean area,Box,Min-max box with mean markers,12.0,473.0379146919431,1.7186489188943934,False,,0.0,False,exceeds tolerance
WDBC__03,WDBC,mean area,Bubble,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__03,WDBC,mean area,Forest,Mean contrast with interval,3.0,478.1937809840915,1.7373812947859444,False,,0.0,False,exceeds tolerance
WDBC__03,WDBC,mean area,Interval,Means with intervals,6.0,478.1937809840915,1.7373812947859444,False,,0.0,False,exceeds tolerance
WDBC__03,WDBC,mean area,Line,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__03,WDBC,mean area,Pie / donut,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__03,WDBC,mean area,Scatter,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__03,WDBC,mean area,Stacked bar,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__04,WDBC,mean smoothness,Bar,Mean bars,2.0,0.00312842644560285,0.4049315968406705,True,2.2024657984203353,0.45403656243707646,True,qualified
WDBC__04,WDBC,mean smoothness,Dot,Mean dots,2.0,0.00312842644560285,0.4049315968406705,True,2.2024657984203353,0.45403656243707646,True,qualified
WDBC__04,WDBC,mean smoothness,Forest,Mean contrast with interval,3.0,0.00312842644560285,0.4049315968406705,True,3.2024657984203353,0.3122593847819593,False,qualified
WDBC__04,WDBC,mean smoothness,Interval,Means with intervals,6.0,0.00312842644560285,0.4049315968406705,True,6.202465798420335,0.1612262014011723,False,qualified
WDBC__04,WDBC,mean smoothness,Heatmap,10 common bins,22.0,0.0019390353130015886,0.2509813413474321,True,22.125490670673717,0.04519673777564862,False,qualified
WDBC__04,WDBC,mean smoothness,Histogram,10 common bins,22.0,0.0019390353130015886,0.2509813413474321,True,22.125490670673717,0.04519673777564862,False,qualified
WDBC__04,WDBC,mean smoothness,Violin,64-point density per group,130.0,0.002082344743036868,0.26953076782606217,True,130.13476538391302,0.007684341667269935,False,qualified
WDBC__04,WDBC,mean smoothness,Raincloud,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__04,WDBC,mean smoothness,Area,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__04,WDBC,mean smoothness,Box,Min-max box with mean markers,12.0,0.02149999999999999,2.782878064565381,False,,0.0,False,exceeds tolerance
WDBC__04,WDBC,mean smoothness,Bubble,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__04,WDBC,mean smoothness,Line,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__04,WDBC,mean smoothness,Pie / donut,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__04,WDBC,mean smoothness,Scatter,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__04,WDBC,mean smoothness,Stacked bar,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__05,WDBC,mean compactness,Box,Min-max box with mean markers,12.0,0.011507582938388633,0.296330920150161,True,12.14816546007508,0.08231695586354153,True,qualified
WDBC__05,WDBC,mean compactness,Heatmap,10 common bins,22.0,0.009655070990806952,0.24862702151609087,True,22.124313510758046,0.04519914254124746,False,qualified
WDBC__05,WDBC,mean compactness,Histogram,10 common bins,22.0,0.009655070990806952,0.24862702151609087,True,22.124313510758046,0.04519914254124746,False,qualified
WDBC__05,WDBC,mean compactness,Violin,64-point density per group,130.0,0.006484980105313121,0.16699424475597255,True,130.083497122378,0.007687370205455309,False,qualified
WDBC__05,WDBC,mean compactness,Dot,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__05,WDBC,mean compactness,Raincloud,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__05,WDBC,mean compactness,Area,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__05,WDBC,mean compactness,Bar,Mean bars,2.0,0.0412884118635795,1.0632148509882098,False,,0.0,False,exceeds tolerance
WDBC__05,WDBC,mean compactness,Bubble,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__05,WDBC,mean compactness,Forest,Mean contrast with interval,3.0,0.0412884118635795,1.0632148509882098,False,,0.0,False,exceeds tolerance
WDBC__05,WDBC,mean compactness,Interval,Means with intervals,6.0,0.0412884118635795,1.0632148509882098,False,,0.0,False,exceeds tolerance
WDBC__05,WDBC,mean compactness,Line,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__05,WDBC,mean compactness,Pie / donut,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__05,WDBC,mean compactness,Scatter,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__05,WDBC,mean compactness,Stacked bar,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__06,WDBC,mean concavity,Heatmap,10 common bins,22.0,0.01669228926878802,0.2701537693580698,True,22.135076884679034,0.045177164064524114,True,qualified
WDBC__06,WDBC,mean concavity,Histogram,10 common bins,22.0,0.01669228926878802,0.2701537693580698,True,22.135076884679034,0.045177164064524114,True,qualified
WDBC__06,WDBC,mean concavity,Violin,64-point density per group,130.0,0.014380427332189805,0.2327377980463767,True,130.1163688990232,0.0076854281168578405,False,qualified
WDBC__06,WDBC,mean concavity,Dot,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__06,WDBC,mean concavity,Raincloud,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__06,WDBC,mean concavity,Area,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__06,WDBC,mean concavity,Bar,Mean bars,2.0,0.09338953909836131,1.511448525710038,False,,0.0,False,exceeds tolerance
WDBC__06,WDBC,mean concavity,Box,Min-max box with mean markers,12.0,0.16561071090047394,2.680300890752601,False,,0.0,False,exceeds tolerance
WDBC__06,WDBC,mean concavity,Bubble,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__06,WDBC,mean concavity,Forest,Mean contrast with interval,3.0,0.09338953909836131,1.511448525710038,False,,0.0,False,exceeds tolerance
WDBC__06,WDBC,mean concavity,Interval,Means with intervals,6.0,0.09338953909836131,1.511448525710038,False,,0.0,False,exceeds tolerance
WDBC__06,WDBC,mean concavity,Line,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__06,WDBC,mean concavity,Pie / donut,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__06,WDBC,mean concavity,Scatter,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__06,WDBC,mean concavity,Stacked bar,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__07,WDBC,mean concave points,Box,Min-max box with mean markers,12.0,0.0139736018957346,0.6769363226228609,True,12.33846816131143,0.08104733804278927,True,qualified
WDBC__07,WDBC,mean concave points,Heatmap,10 common bins,22.0,0.005721259690222837,0.27716035739160816,True,22.138580178695804,0.04517001505644481,False,qualified
WDBC__07,WDBC,mean concave points,Histogram,10 common bins,22.0,0.005721259690222837,0.27716035739160816,True,22.138580178695804,0.04517001505644481,False,qualified
WDBC__07,WDBC,mean concave points,Violin,64-point density per group,130.0,0.006819257874840716,0.33035171484459863,True,130.1651758574223,0.007682546375501845,False,qualified
WDBC__07,WDBC,mean concave points,Dot,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
