key,selected,stratum
WDBC__01,Dot; Raincloud,Distribution detail
WDBC__02,Dot; Raincloud,Distribution detail
WDBC__03,Dot; Raincloud,Distribution detail
WDBC__04,Heatmap; Histogram,Distribution detail
WDBC__05,Heatmap; Histogram,Distribution detail
WDBC__06,Dot; Raincloud,Distribution detail
WDBC__07,Dot; Raincloud,Distribution detail
WDBC__08,Dot; Raincloud,Distribution detail
WDBC__09,Dot; Raincloud,Distribution detail
WDBC__10,Dot; Raincloud,Distribution detail
WDBC__11,Dot; Raincloud,Distribution detail
WDBC__12,Dot; Raincloud,Distribution detail
WDBC__13,Dot; Raincloud,Distribution detail
WDBC__14,Dot; Raincloud,Distribution detail
WDBC__15,Dot; Raincloud,Distribution detail
WDBC__16,Dot; Raincloud,Distribution detail
WDBC__17,Dot; Raincloud,Distribution detail
WDBC__18,Dot; Raincloud,Distribution detail
WDBC__19,Dot; Raincloud,Distribution detail
WDBC__20,Dot; Raincloud,Distribution detail
WDBC__21,Heatmap; Histogram,Distribution detail
WDBC__22,Dot; Raincloud,Distribution detail
WDBC__23,Dot; Raincloud,Distribution detail
WDBC__24,Dot; Raincloud,Distribution detail
WDBC__25,Dot; Raincloud,Distribution detail
WDBC__26,Heatmap; Histogram,Distribution detail
WDBC__27,Heatmap; Histogram,Distribution detail
WDBC__28,Dot; Raincloud,Distribution detail
WDBC__29,Dot; Raincloud,Distribution detail
Wrist__00,Dot; Line; Raincloud; Scatter,Distribution detail
Wrist__01,Dot; Line; Raincloud; Scatter,Distribution detail
Wrist__02,Dot; Line; Raincloud; Scatter,Distribution detail
Wrist__03,Dot; Line; Raincloud; Scatter,Distribution detail
Wrist__04,Dot; Line; Raincloud; Scatter,Distribution detail
