key,family,configuration,retained_values,error,error_ratio,qualifies,retention_cost,score,selected
WDBC__03,Heatmap,20 common bins,42,29.611104022359655,0.10758353682587937,True,42.05379176841294,0.023779068615427702,False
WDBC__03,Histogram,40 common bins,82,57.189942722373075,0.20778341477225537,True,82.10389170738613,0.012179690623727635,False
WDBC__03,Heatmap,40 common bins,82,57.189942722373075,0.20778341477225537,True,82.10389170738613,0.012179690623727635,False
WDBC__03,Violin,64-point density per group,130,69.71927168119953,0.2533051731784131,True,130.12665258658922,0.0076848207505728116,False
WDBC__03,Violin,128-point density per group,258,70.68603249807552,0.2568176240436581,True,258.1284088120218,0.003874040848902591,False
WDBC__03,Violin,256-point density per group,514,70.69842514729851,0.2568626492150615,True,514.1284313246075,0.001945039291881965,False
WDBC__04,Bar,Mean bars,2,0.00312842644560285,0.4049315968406705,True,2.2024657984203353,0.45403656243707646,True
WDBC__04,Dot,Mean dots,2,0.00312842644560285,0.4049315968406705,True,2.2024657984203353,0.45403656243707646,True
WDBC__04,Interval,Means with intervals,6,0.00312842644560285,0.4049315968406705,True,6.202465798420335,0.1612262014011723,False
WDBC__04,Forest,Mean contrast with interval,3,0.00312842644560285,0.4049315968406705,True,3.2024657984203353,0.3122593847819593,False
WDBC__04,Box,Min-max box with mean markers,12,0.02149999999999999,2.782878064565381,False,,0.0,False
WDBC__04,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__04,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__04,Histogram,10 common bins,22,0.0019390353130015886,0.2509813413474321,True,22.125490670673717,0.04519673777564862,False
WDBC__04,Heatmap,10 common bins,22,0.0019390353130015886,0.2509813413474321,True,22.125490670673717,0.04519673777564862,False
WDBC__04,Histogram,20 common bins,42,0.0012625565724247167,0.16342051119412085,True,42.08171025559706,0.0237632927446668,False
WDBC__04,Heatmap,20 common bins,42,0.0012625565724247167,0.16342051119412085,True,42.08171025559706,0.0237632927446668,False
WDBC__04,Histogram,40 common bins,82,0.0013139132109004914,0.17006791876082072,True,82.08503395938041,0.012182488716455275,False
WDBC__04,Heatmap,40 common bins,82,0.0013139132109004914,0.17006791876082072,True,82.08503395938041,0.012182488716455275,False
WDBC__04,Violin,64-point density per group,130,0.002082344743036868,0.26953076782606217,True,130.13476538391302,0.007684341667269935,False
WDBC__04,Violin,128-point density per group,258,0.0020687786998723062,0.2677748308983596,True,258.1338874154492,0.0038739586267128386,False
WDBC__04,Violin,256-point density per group,514,0.002061212411899549,0.26679547941791437,True,514.1333977397089,0.0019450205032318702,False
WDBC__05,Bar,Mean bars,2,0.0412884118635795,1.0632148509882098,False,,0.0,False
WDBC__05,Dot,Mean dots,2,0.0412884118635795,1.0632148509882098,False,,0.0,False
WDBC__05,Interval,Means with intervals,6,0.0412884118635795,1.0632148509882098,False,,0.0,False
WDBC__05,Forest,Mean contrast with interval,3,0.0412884118635795,1.0632148509882098,False,,0.0,False
WDBC__05,Box,Min-max box with mean markers,12,0.011507582938388633,0.296330920150161,True,12.14816546007508,0.08231695586354153,True
WDBC__05,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__05,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__05,Histogram,10 common bins,22,0.009655070990806952,0.24862702151609087,True,22.124313510758046,0.04519914254124746,False
WDBC__05,Heatmap,10 common bins,22,0.009655070990806952,0.24862702151609087,True,22.124313510758046,0.04519914254124746,False
WDBC__05,Histogram,20 common bins,42,0.00440782298263534,0.11350552477410661,True,42.056752762387056,0.023777394456719392,False
WDBC__05,Heatmap,20 common bins,42,0.00440782298263534,0.11350552477410661,True,42.056752762387056,0.023777394456719392,False
WDBC__05,Histogram,40 common bins,82,0.0035685379146919508,0.09189315684388855,True,82.04594657842195,0.012188292556831803,False
WDBC__05,Heatmap,40 common bins,82,0.0035685379146919508,0.09189315684388855,True,82.04594657842195,0.012188292556831803,False
WDBC__05,Violin,64-point density per group,130,0.006484980105313121,0.16699424475597255,True,130.083497122378,0.007687370205455309,False
WDBC__05,Violin,128-point density per group,258,0.006475759848781487,0.16675681460954928,True,258.0833784073048,0.0038747167918028774,False
WDBC__05,Violin,256-point density per group,514,0.006477126611731138,0.1667920100215368,True,514.0833960050107,0.0019452096834309215,False
WDBC__06,Bar,Mean bars,2,0.09338953909836131,1.511448525710038,False,,0.0,False
WDBC__06,Dot,Mean dots,2,0.09338953909836131,1.511448525710038,False,,0.0,False
WDBC__06,Interval,Means with intervals,6,0.09338953909836131,1.511448525710038,False,,0.0,False
WDBC__06,Forest,Mean contrast with interval,3,0.09338953909836131,1.511448525710038,False,,0.0,False
WDBC__06,Box,Min-max box with mean markers,12,0.16561071090047394,2.680300890752601,False,,0.0,False
WDBC__06,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__06,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__06,Histogram,10 common bins,22,0.01669228926878802,0.2701537693580698,True,22.135076884679034,0.045177164064524114,True
WDBC__06,Heatmap,10 common bins,22,0.01669228926878802,0.2701537693580698,True,22.135076884679034,0.045177164064524114,True
WDBC__06,Histogram,20 common bins,42,0.0093589218009478,0.1514680198108644,True,42.07573400990543,0.023766667974576057,False
WDBC__06,Heatmap,20 common bins,42,0.0093589218009478,0.1514680198108644,True,42.07573400990543,0.023766667974576057,False
WDBC__06,Histogram,40 common bins,82,0.008306358609794617,0.13443297392837492,True,82.06721648696418,0.012185133635656367,False
WDBC__06,Heatmap,40 common bins,82,0.008306358609794617,0.13443297392837492,True,82.06721648696418,0.012185133635656367,False
WDBC__06,Violin,64-point density per group,130,0.014380427332189805,0.2327377980463767,True,130.1163688990232,0.0076854281168578405,False
WDBC__06,Violin,128-point density per group,258,0.014262811112786433,0.2308342565669656,True,258.11541712828347,0.003874235840407005,False
WDBC__06,Violin,256-point density per group,514,0.014294717671440693,0.23135064332188546,True,514.1156753216609,0.0019450875513070895,False
