key,dataset,feature,unit,labels,stratum,mean_error_ratio,box_error_ratio,bootstrap_agreement,n_x,n_y,paired,scale,epsilon,uncertainty_radius,resolution_floor,eta,mean_difference,median_difference,iqr_difference,selected,score
WDBC__00,WDBC,mean radius,source units,"['Benign', 'Malignant']",Distribution detail required,1.6320813191862285,1.2291710539293428,0.8585858585858586,357,212,False,2.410516653707913,1.7779099526066349,1.7779099526066349,0.2410516653707913,0.1,5.316306379155437,5.125000000000004,2.2250000000000014,Heatmap; Histogram,0.0450517933963084
Cleveland__04,Cleveland,oldpeak,source units,"['No disease', 'Disease']",Quartile summary sufficient,1.4107362193868598,0.5693581780538303,0.7373737373737373,164,139,False,1.0530090571316797,0.7000000000000001,0.7000000000000001,0.1053009057131679,0.1,0.987515353570802,1.2,0.925,Box,0.0814022078031516
HeartFailure__00,HeartFailure,age,years,"['Survived', 'Died']",Mean summary sufficient,0.64818070831098,0.6058229585334778,0.8181818181818182,203,96,False,11.52491033330266,10.099999999999994,10.099999999999994,1.152491033330266,0.1,6.453374846059106,5.0,5.0,Bar; Dot,0.4302758703903198
CKD__06,CKD,pot,source units,"['Non-CKD', 'CKD']",Distribution detail required,1.6341867988161614,53.83333333333336,0.9696969696969696,145,167,False,3.187598840729353,0.5999999999999996,0.5999999999999996,0.3187598840729353,0.1,0.5405120792896962,-0.2000000000000001,-0.1499999999999994,Dot; Raincloud,0.0032051282051282
ILPD__01,ILPD,total_bilirubin,source units,"['No liver disease', 'Liver disease']",Distribution detail required,2.347927863823063,6.891815745667425,0.98989898989899,167,416,False,6.06230723635571,5.602,5.602,0.6062307236355711,0.1,3.0219081068631968,0.5999999999999999,2.425,Heatmap; Histogram,0.0444592935695296
Parkinsons__08,Parkinsons,MDVP:Shimmer,source units,"['Healthy', 'Parkinson disease']",Quartile summary sufficient,1.227212533551808,0.3389125547148548,0.6767676767676768,8,24,False,0.0146554525689246,0.0207498695652173,0.0207498695652173,0.0014655452568924,0.1,0.014175,0.0121224999999999,0.0184775,Box,0.0821729399579344
Retinopathy__00,Retinopathy,feature_2,source units,"['Class 0', 'Class 1']",Distribution detail required,1.3067243291522217,2.0407750393395463,0.9595959595959596,540,611,False,24.510247671043043,9.576557377049202,9.576557377049202,2.4510247671043044,0.1,15.01558768260896,19.0,9.0,Heatmap; Histogram,0.045042117212182
HAR__05,HAR,tBodyAcc-std()-Z,normalized source units,"['Sitting', 'Walking']",Quartile summary sufficient,1.6134719902604528,0.3622542114902946,0.898989898989899,30,30,True,0.1374280562790486,0.21261205345,0.21261205345,0.0137428056279048,0.1,0.7017151377666664,0.7044505449999999,0.2335893062499999,Box,0.0820942094536027
BIDMC__00,BIDMC,mean,bpm,"['ECG HR', 'PPG pulse']",Mean summary sufficient,0.5730009973350378,0.6923413312374543,0.98989898989899,46,46,True,12.360952402314334,5.752879609871687,5.752879609871687,1.2360952402314336,0.1,-0.7035942459951201,-0.8653999343473089,0.7094594594594668,Bar; Dot,0.4373495656715404
Wrist__00,Wrist,mean,bpm,"['Early third', 'Late third']",Mean summary sufficient,0.4632920077243722,0.5217192993908306,1.0,8,8,True,29.715915839607305,13.161545172692373,13.161545172692373,2.9715915839607305,0.1,3.5207023614755144,5.109422510279856,-1.5833039734111765,Bar; Dot,0.4480997426425855
