key,dataset,feature,primary,n_A,n_B,resolution,representation,N
WDBC__07,WDBC,mean concave points,True,357,212,2.7071498763931694,Means,2
WDBC__07,WDBC,mean concave points,True,357,212,3.083388138237417,Means,2
WDBC__07,WDBC,mean concave points,True,357,212,3.511915795253308,Means,2
WDBC__07,WDBC,mean concave points,True,357,212,4.0,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,0.025,Observations,569
WDBC__08,WDBC,mean symmetry,True,357,212,0.02847448681291267,Observations,569
WDBC__08,WDBC,mean symmetry,True,357,212,0.032431855970349484,Observations,569
WDBC__08,WDBC,mean symmetry,True,357,212,0.03693921820583997,Observations,569
WDBC__08,WDBC,mean symmetry,True,357,212,0.04207301126725973,Observations,569
WDBC__08,WDBC,mean symmetry,True,357,212,0.04792029618036453,Observations,569
WDBC__08,WDBC,mean symmetry,True,357,212,0.05458023366634633,Observations,569
WDBC__08,WDBC,mean symmetry,True,357,212,0.06216576575112282,Observations,569
WDBC__08,WDBC,mean symmetry,True,357,212,0.07080553108379858,Observations,569
WDBC__08,WDBC,mean symmetry,True,357,212,0.08064604644507599,Binned,130
WDBC__08,WDBC,mean symmetry,True,357,212,0.0918541914405543,Binned,130
WDBC__08,WDBC,mean symmetry,True,357,212,0.10462003851539275,Binned,130
WDBC__08,WDBC,mean symmetry,True,357,212,0.11916007628291865,Binned,130
WDBC__08,WDBC,mean symmetry,True,357,212,0.13572088082974534,Density,34
WDBC__08,WDBC,mean symmetry,True,357,212,0.15458329725693898,Density,34
WDBC__08,WDBC,mean symmetry,True,357,212,0.17606720236957066,Density,34
WDBC__08,WDBC,mean symmetry,True,357,212,0.20053692928235056,Binned,18
WDBC__08,WDBC,mean symmetry,True,357,212,0.2284074459340916,Binned,18
WDBC__08,WDBC,mean symmetry,True,357,212,0.2601513922888541,Binned,18
WDBC__08,WDBC,mean symmetry,True,357,212,0.29630709556359386,Binned,18
WDBC__08,WDBC,mean symmetry,True,357,212,0.33748769940792006,Five-number,10
WDBC__08,WDBC,mean symmetry,True,357,212,0.38439156185244217,Five-number,10
WDBC__08,WDBC,mean symmetry,True,357,212,0.4378140983584905,Means,2
