key,dataset,feature,primary,n_A,n_B,contract,configuration,representation,N
WDBC__21,WDBC,worst texture,True,357,212,legacy_box,means,Means,2
WDBC__21,WDBC,worst texture,True,357,212,free_parameters,means,Means,2
WDBC__21,WDBC,worst texture,True,357,212,equal,raw,Observations,569
WDBC__22,WDBC,worst perimeter,True,357,212,payload,density_8,Density,18
WDBC__22,WDBC,worst perimeter,True,357,212,legacy_box,density_8,Density,18
WDBC__22,WDBC,worst perimeter,True,357,212,free_parameters,bins_8,Binned,18
WDBC__22,WDBC,worst perimeter,True,357,212,equal,raw,Observations,569
WDBC__23,WDBC,worst area,True,357,212,payload,bins_4,Binned,10
WDBC__23,WDBC,worst area,True,357,212,legacy_box,bins_4,Binned,10
WDBC__23,WDBC,worst area,True,357,212,free_parameters,bins_4,Binned,10
WDBC__23,WDBC,worst area,True,357,212,equal,raw,Observations,569
WDBC__24,WDBC,worst smoothness,True,357,212,payload,means,Means,2
WDBC__24,WDBC,worst smoothness,True,357,212,legacy_box,means,Means,2
WDBC__24,WDBC,worst smoothness,True,357,212,free_parameters,means,Means,2
WDBC__24,WDBC,worst smoothness,True,357,212,equal,raw,Observations,569
WDBC__25,WDBC,worst compactness,True,357,212,payload,bins_4,Binned,10
WDBC__25,WDBC,worst compactness,True,357,212,legacy_box,bins_4,Binned,10
WDBC__25,WDBC,worst compactness,True,357,212,free_parameters,bins_4,Binned,10
WDBC__25,WDBC,worst compactness,True,357,212,equal,raw,Observations,569
WDBC__26,WDBC,worst concavity,True,357,212,payload,means,Means,2
WDBC__26,WDBC,worst concavity,True,357,212,legacy_box,means,Means,2
WDBC__26,WDBC,worst concavity,True,357,212,free_parameters,means,Means,2
WDBC__26,WDBC,worst concavity,True,357,212,equal,raw,Observations,569
WDBC__27,WDBC,worst concave points,True,357,212,payload,means,Means,2
WDBC__27,WDBC,worst concave points,True,357,212,legacy_box,means,Means,2
WDBC__27,WDBC,worst concave points,True,357,212,free_parameters,means,Means,2
WDBC__27,WDBC,worst concave points,True,357,212,equal,raw,Observations,569
WDBC__28,WDBC,worst symmetry,True,357,212,payload,bins_8,Binned,18
WDBC__28,WDBC,worst symmetry,True,357,212,legacy_box,bins_8,Binned,18
WDBC__28,WDBC,worst symmetry,True,357,212,free_parameters,bins_8,Binned,18
WDBC__28,WDBC,worst symmetry,True,357,212,equal,raw,Observations,569
WDBC__29,WDBC,worst fractal dimension,True,357,212,payload,means,Means,2
WDBC__29,WDBC,worst fractal dimension,True,357,212,legacy_box,means,Means,2
WDBC__29,WDBC,worst fractal dimension,True,357,212,free_parameters,means,Means,2
WDBC__29,WDBC,worst fractal dimension,True,357,212,equal,raw,Observations,569
Cleveland__00,Cleveland,age,True,164,139,payload,means,Means,2
Cleveland__00,Cleveland,age,True,164,139,legacy_box,means,Means,2
Cleveland__00,Cleveland,age,True,164,139,free_parameters,means,Means,2
Cleveland__00,Cleveland,age,True,164,139,equal,raw,Observations,303
Cleveland__01,Cleveland,trestbps,True,164,139,payload,means,Means,2
Cleveland__01,Cleveland,trestbps,True,164,139,legacy_box,means,Means,2
Cleveland__01,Cleveland,trestbps,True,164,139,free_parameters,means,Means,2
Cleveland__01,Cleveland,trestbps,True,164,139,equal,raw,Observations,303
Cleveland__02,Cleveland,chol,True,164,139,payload,means,Means,2
Cleveland__02,Cleveland,chol,True,164,139,legacy_box,means,Means,2
