scenario,n_A,n_B,replicate,seed,method,configuration,N,error,train_tolerance,test_tolerance,passes_reestimated,passes_frozen,passes_fixed,population_error,population_pass
null,20,20,0,9302000,Adaptive,means,2,0.9327840899971355,1.6361853554024763,1.8258498007638129,True,True,False,0.3508411212924608,False
null,20,20,0,9302000,Fixed-budget adaptive,raw,40,0.0,1.6361853554024763,1.8258498007638129,True,True,True,1.2830956683519517,False
null,20,20,0,9302000,Means,means,2,0.9327840899971355,1.6361853554024763,1.8258498007638129,True,True,False,0.3508411212924608,False
null,20,20,0,9302000,Five-number,five_number,10,0.37119753451613013,1.6361853554024763,1.8258498007638129,True,True,False,0.9799234465255668,False
null,20,20,0,9302000,Raw,raw,40,0.0,1.6361853554024763,1.8258498007638129,True,True,True,1.2830956683519517,False
null,20,20,0,9302000,8-bin,bins_8,18,0.44810993434135415,1.6361853554024763,1.8258498007638129,True,True,False,0.8355152769482423,False
null,20,20,0,9302000,8-grid density,density_8,18,0.49275053709118666,1.6361853554024763,1.8258498007638129,True,True,False,0.8226709203840152,False
null,20,20,1,9302001,Adaptive,means,2,0.4948852157646578,1.670423799451231,1.7558205623217715,True,True,False,0.3749750808229003,False
null,20,20,1,9302001,Fixed-budget adaptive,raw,40,0.0,1.670423799451231,1.7558205623217715,True,True,True,0.8698602965875581,False
null,20,20,1,9302001,Means,means,2,0.4948852157646578,1.670423799451231,1.7558205623217715,True,True,False,0.3749750808229003,False
null,20,20,1,9302001,Five-number,five_number,10,0.6218548855837198,1.670423799451231,1.7558205623217715,True,True,False,1.3086039304126005,False
null,20,20,1,9302001,Raw,raw,40,0.0,1.670423799451231,1.7558205623217715,True,True,True,0.8698602965875581,False
null,20,20,1,9302001,8-bin,bins_8,18,0.3528791201807808,1.670423799451231,1.7558205623217715,True,True,False,0.7686555447835905,False
null,20,20,1,9302001,8-grid density,density_8,18,0.45826087560771,1.670423799451231,1.7558205623217715,True,True,False,0.6605651145243496,False
null,20,20,2,9302002,Adaptive,means,2,0.3242687524351745,1.5184291140078285,1.449190726119987,True,True,False,0.4885888498231624,False
null,20,20,2,9302002,Fixed-budget adaptive,raw,40,0.0,1.5184291140078285,1.449190726119987,True,True,True,0.775274746184381,False
null,20,20,2,9302002,Means,means,2,0.3242687524351745,1.5184291140078285,1.449190726119987,True,True,False,0.4885888498231624,False
null,20,20,2,9302002,Five-number,five_number,10,0.42026939788337747,1.5184291140078285,1.449190726119987,True,True,False,0.9947325260603096,False
null,20,20,2,9302002,Raw,raw,40,0.0,1.5184291140078285,1.449190726119987,True,True,True,0.775274746184381,False
null,20,20,2,9302002,8-bin,bins_8,18,0.48210487314795614,1.5184291140078285,1.449190726119987,True,True,False,0.8459039185002164,False
null,20,20,2,9302002,8-grid density,density_8,18,0.2970452274516753,1.5184291140078285,1.449190726119987,True,True,False,0.8299216691004281,False
null,20,20,3,9302003,Adaptive,means,2,0.24497494769956574,1.5084714238089714,1.2964040456518795,True,True,False,0.5251341316418305,False
null,20,20,3,9302003,Fixed-budget adaptive,raw,40,0.0,1.5084714238089714,1.2964040456518795,True,True,True,0.7700049039077188,False
null,20,20,3,9302003,Means,means,2,0.24497494769956574,1.5084714238089714,1.2964040456518795,True,True,False,0.5251341316418305,False
null,20,20,3,9302003,Five-number,five_number,10,0.4958083314298971,1.5084714238089714,1.2964040456518795,True,True,False,0.7146885712339868,False
null,20,20,3,9302003,Raw,raw,40,0.0,1.5084714238089714,1.2964040456518795,True,True,True,0.7700049039077188,False
null,20,20,3,9302003,8-bin,bins_8,18,0.24222732277341041,1.5084714238089714,1.2964040456518795,True,True,False,0.764997438312977,False
null,20,20,3,9302003,8-grid density,density_8,18,0.23359218134418813,1.5084714238089714,1.2964040456518795,True,True,False,0.6771342993418898,False
null,20,20,4,9302004,Adaptive,means,2,0.6271966865933679,2.32579201814179,1.9387567182209324,True,True,False,0.04130444621251514,True
