key,dataset,feature,primary,n_A,n_B,B,tolerance,configuration,detail,stream
WDBC__14,WDBC,smoothness error,True,357,212,999,0.001952365168539327,bins_4,Distribution,independent
WDBC__15,WDBC,compactness error,True,357,212,99,0.018127519431279594,means,Mean,nested
WDBC__15,WDBC,compactness error,True,357,212,499,0.016667879213483134,means,Mean,nested
WDBC__15,WDBC,compactness error,True,357,212,999,0.017328799052132644,means,Mean,nested
WDBC__15,WDBC,compactness error,True,357,212,999,0.017555521806272945,means,Mean,independent
WDBC__16,WDBC,concavity error,True,357,212,99,0.023334880930826942,means,Mean,nested
WDBC__16,WDBC,concavity error,True,357,212,499,0.02424067865168534,means,Mean,nested
WDBC__16,WDBC,concavity error,True,357,212,999,0.024739228651685315,means,Mean,nested
WDBC__16,WDBC,concavity error,True,357,212,999,0.024145339315192537,means,Mean,independent
WDBC__17,WDBC,concave points error,True,357,212,99,0.004354605617977526,means,Mean,nested
WDBC__17,WDBC,concave points error,True,357,212,499,0.004560053802119396,means,Mean,nested
WDBC__17,WDBC,concave points error,True,357,212,999,0.00453000087864103,means,Mean,nested
WDBC__17,WDBC,concave points error,True,357,212,999,0.004479215892752554,means,Mean,independent
WDBC__18,WDBC,symmetry error,True,357,212,99,0.013793009478672992,means,Mean,nested
WDBC__18,WDBC,symmetry error,True,357,212,499,0.014051985781990507,means,Mean,nested
WDBC__18,WDBC,symmetry error,True,357,212,999,0.013870130331753544,means,Mean,nested
WDBC__18,WDBC,symmetry error,True,357,212,999,0.013993786729857821,means,Mean,independent
WDBC__19,WDBC,fractal dimension error,True,357,212,99,0.0027089705056179813,means,Mean,nested
WDBC__19,WDBC,fractal dimension error,True,357,212,499,0.002575146540284359,means,Mean,nested
WDBC__19,WDBC,fractal dimension error,True,357,212,999,0.0025986853370786444,means,Mean,nested
WDBC__19,WDBC,fractal dimension error,True,357,212,999,0.0024330044943820205,means,Mean,independent
WDBC__20,WDBC,worst radius,True,357,212,99,2.6772132701421807,bins_8,Distribution,nested
WDBC__20,WDBC,worst radius,True,357,212,499,2.5637014218009493,bins_8,Distribution,nested
WDBC__20,WDBC,worst radius,True,357,212,999,2.5850710900473897,bins_8,Distribution,nested
WDBC__20,WDBC,worst radius,True,357,212,999,2.515213981042652,bins_8,Distribution,independent
WDBC__21,WDBC,worst texture,True,357,212,99,3.53051123595505,means,Mean,nested
WDBC__21,WDBC,worst texture,True,357,212,499,3.5524562543266383,means,Mean,nested
WDBC__21,WDBC,worst texture,True,357,212,999,3.7967778635710028,means,Mean,nested
WDBC__21,WDBC,worst texture,True,357,212,999,3.522087810852537,means,Mean,independent
WDBC__22,WDBC,worst perimeter,True,357,212,99,17.881601123595456,density_8,Distribution,nested
WDBC__22,WDBC,worst perimeter,True,357,212,499,17.357203791469182,density_8,Distribution,nested
WDBC__22,WDBC,worst perimeter,True,357,212,999,17.583933649289065,density_8,Distribution,nested
WDBC__22,WDBC,worst perimeter,True,357,212,999,17.786861787102605,density_8,Distribution,independent
WDBC__23,WDBC,worst area,True,357,212,99,426.3289573459716,bins_4,Distribution,nested
WDBC__23,WDBC,worst area,True,357,212,499,410.15241706161123,bins_4,Distribution,nested
WDBC__23,WDBC,worst area,True,357,212,999,406.944075829384,bins_4,Distribution,nested
WDBC__23,WDBC,worst area,True,357,212,999,408.29218009478706,bins_4,Distribution,independent
WDBC__24,WDBC,worst smoothness,True,357,212,99,0.011119999999999974,means,Mean,nested
WDBC__24,WDBC,worst smoothness,True,357,212,499,0.011660324298418429,means,Mean,nested
WDBC__24,WDBC,worst smoothness,True,357,212,999,0.011645780898876343,means,Mean,nested
WDBC__24,WDBC,worst smoothness,True,357,212,999,0.011503499999999972,means,Mean,independent
WDBC__25,WDBC,worst compactness,True,357,212,99,0.09977919431279639,bins_4,Quartiles,nested
WDBC__25,WDBC,worst compactness,True,357,212,499,0.10722916113744066,bins_4,Quartiles,nested
WDBC__25,WDBC,worst compactness,True,357,212,999,0.10756496208530704,bins_4,Quartiles,nested
WDBC__25,WDBC,worst compactness,True,357,212,999,0.10792406635071079,bins_4,Quartiles,independent
WDBC__26,WDBC,worst concavity,True,357,212,99,0.11899232227488143,means,Mean,nested
WDBC__26,WDBC,worst concavity,True,357,212,499,0.126257581873369,means,Mean,nested
WDBC__26,WDBC,worst concavity,True,357,212,999,0.13074056872037929,means,Mean,nested
WDBC__26,WDBC,worst concavity,True,357,212,999,0.13464614782469775,means,Mean,independent
WDBC__27,WDBC,worst concave points,True,357,212,99,0.027499886516853932,means,Mean,nested
WDBC__27,WDBC,worst concave points,True,357,212,499,0.02640700337078652,means,Mean,nested
WDBC__27,WDBC,worst concave points,True,357,212,999,0.025817102606635042,means,Mean,nested
WDBC__27,WDBC,worst concave points,True,357,212,999,0.02455893258426966,means,Mean,independent
WDBC__28,WDBC,worst symmetry,True,357,212,99,0.05216845838436552,bins_8,Distribution,nested
WDBC__28,WDBC,worst symmetry,True,357,212,499,0.05188065019436606,bins_8,Distribution,nested
WDBC__28,WDBC,worst symmetry,True,357,212,999,0.05215373595505617,bins_8,Distribution,nested
WDBC__28,WDBC,worst symmetry,True,357,212,999,0.04877140063368659,bins_8,Distribution,independent
WDBC__29,WDBC,worst fractal dimension,True,357,212,99,0.013089499999999922,means,Mean,nested
WDBC__29,WDBC,worst fractal dimension,True,357,212,499,0.013714548911017609,means,Mean,nested
WDBC__29,WDBC,worst fractal dimension,True,357,212,999,0.013429265402843584,means,Mean,nested
WDBC__29,WDBC,worst fractal dimension,True,357,212,999,0.01472051538953088,means,Mean,independent
Cleveland__00,Cleveland,age,True,164,139,99,5.099999999999994,means,Mean,nested
Cleveland__00,Cleveland,age,True,164,139,499,6.0,means,Mean,nested
Cleveland__00,Cleveland,age,True,164,139,999,6.0,means,Mean,nested
Cleveland__00,Cleveland,age,True,164,139,999,6.0,means,Mean,independent
Cleveland__01,Cleveland,trestbps,True,164,139,99,15.478260869565219,means,Mean,nested
Cleveland__01,Cleveland,trestbps,True,164,139,499,15.478260869565219,means,Mean,nested
Cleveland__01,Cleveland,trestbps,True,164,139,999,15.719999999999969,means,Mean,nested
Cleveland__01,Cleveland,trestbps,True,164,139,999,16.0,means,Mean,independent
Cleveland__02,Cleveland,chol,True,164,139,99,37.21349693251531,means,Mean,nested
Cleveland__02,Cleveland,chol,True,164,139,499,35.12699386503069,means,Mean,nested
Cleveland__02,Cleveland,chol,True,164,139,999,34.701779141104296,means,Mean,nested
Cleveland__02,Cleveland,chol,True,164,139,999,35.18907975460121,means,Mean,independent
Cleveland__03,Cleveland,thalach,True,164,139,99,16.03695652173913,means,Mean,nested
Cleveland__03,Cleveland,thalach,True,164,139,499,16.0,means,Mean,nested
Cleveland__03,Cleveland,thalach,True,164,139,999,16.0,means,Mean,nested
Cleveland__03,Cleveland,thalach,True,164,139,999,15.705521472392633,means,Mean,independent
Cleveland__04,Cleveland,oldpeak,True,164,139,99,0.8,five_number,Quartiles,nested
Cleveland__04,Cleveland,oldpeak,True,164,139,499,0.8,five_number,Quartiles,nested
Cleveland__04,Cleveland,oldpeak,True,164,139,999,0.8,five_number,Quartiles,nested
Cleveland__04,Cleveland,oldpeak,True,164,139,999,0.8,five_number,Quartiles,independent
HeartFailure__00,HeartFailure,age,True,203,96,99,10.0,means,Mean,nested
HeartFailure__00,HeartFailure,age,True,203,96,499,10.0,means,Mean,nested
HeartFailure__00,HeartFailure,age,True,203,96,999,10.0,means,Mean,nested
HeartFailure__00,HeartFailure,age,True,203,96,999,10.0,means,Mean,independent
HeartFailure__01,HeartFailure,creatinine_phosphokinase,True,203,96,99,3060.8726315789436,means,Mean,nested
HeartFailure__01,HeartFailure,creatinine_phosphokinase,True,203,96,499,3719.1999999999975,means,Mean,nested
HeartFailure__01,HeartFailure,creatinine_phosphokinase,True,203,96,999,3716.859999999997,means,Mean,nested
HeartFailure__01,HeartFailure,creatinine_phosphokinase,True,203,96,999,3764.7336842105256,means,Mean,independent
HeartFailure__02,HeartFailure,ejection_fraction,True,203,96,99,15.962376237623799,means,Mean,nested
HeartFailure__02,HeartFailure,ejection_fraction,True,203,96,499,15.0,means,Mean,nested
HeartFailure__02,HeartFailure,ejection_fraction,True,203,96,999,15.0,means,Mean,nested
HeartFailure__02,HeartFailure,ejection_fraction,True,203,96,999,15.0,means,Mean,independent
HeartFailure__03,HeartFailure,platelets,True,203,96,99,82599.64564877542,means,Mean,nested
HeartFailure__03,HeartFailure,platelets,True,203,96,499,88767.10526315783,means,Mean,nested
HeartFailure__03,HeartFailure,platelets,True,203,96,999,92318.4210526312,means,Mean,nested
HeartFailure__03,HeartFailure,platelets,True,203,96,999,95363.42105263125,means,Mean,independent
HeartFailure__04,HeartFailure,serum_creatinine,True,203,96,99,2.8899999999999992,means,Mean,nested
HeartFailure__04,HeartFailure,serum_creatinine,True,203,96,499,2.8819999999999997,means,Mean,nested
HeartFailure__04,HeartFailure,serum_creatinine,True,203,96,999,2.977157894736842,means,Mean,nested
HeartFailure__04,HeartFailure,serum_creatinine,True,203,96,999,3.2499999999999996,means,Mean,independent
HeartFailure__05,HeartFailure,serum_sodium,True,203,96,99,4.356435643564353,means,Mean,nested
HeartFailure__05,HeartFailure,serum_sodium,True,203,96,499,4.659999999999976,means,Mean,nested
HeartFailure__05,HeartFailure,serum_sodium,True,203,96,999,4.999999999999988,means,Mean,nested
HeartFailure__05,HeartFailure,serum_sodium,True,203,96,999,4.413465346534647,means,Mean,independent
CKD__00,CKD,age,True,149,242,99,15.090041493775928,bins_4,Quartiles,nested
CKD__00,CKD,age,True,149,242,499,16.050207468879655,bins_4,Quartiles,nested
CKD__00,CKD,age,True,149,242,999,16.0,bins_4,Quartiles,nested
CKD__00,CKD,age,True,149,242,999,16.366390041493766,bins_4,Quartiles,independent
CKD__01,CKD,bp,True,148,240,99,10.0,bins_8,Distribution,nested
CKD__01,CKD,bp,True,148,240,499,10.0,bins_8,Distribution,nested
CKD__01,CKD,bp,True,148,240,999,10.0,bins_8,Distribution,nested
CKD__01,CKD,bp,True,148,240,999,10.0,bins_8,Distribution,independent
CKD__02,CKD,bgr,True,144,212,99,73.06919431279614,bins_4,Distribution,nested
CKD__02,CKD,bgr,True,144,212,499,71.19289099526065,bins_4,Distribution,nested
CKD__02,CKD,bgr,True,144,212,999,73.00999999999998,bins_4,Distribution,nested
CKD__02,CKD,bgr,True,144,212,999,74.0,bins_4,Distribution,independent
CKD__03,CKD,bu,True,144,237,99,37.06949152542372,bins_8,Distribution,nested
CKD__03,CKD,bu,True,144,237,499,38.0,bins_4,Distribution,nested
CKD__03,CKD,bu,True,144,237,999,38.09999999999991,bins_4,Distribution,nested
CKD__03,CKD,bu,True,144,237,999,40.0,bins_4,Distribution,independent
