key,dataset,feature,primary,n_A,n_B,detail,representation,configuration,N,error,error_ratio,scale,tolerance,agreement,provisional
WDBC__00,WDBC,mean radius,True,357,212,Distribution,Binned,bins_8,18,0.8515454236196831,0.454251710645248,2.410516653707913,1.874611374407581,0.6496496496496497,True
WDBC__01,WDBC,mean texture,True,357,212,Mean,Means,means,2,1.7636830814581508,0.5467431122836298,3.916259734095069,3.2257984450716193,0.7297297297297297,True
WDBC__02,WDBC,mean perimeter,True,357,212,Distribution,Binned,bins_8,18,4.299829355715374,0.3298753143469442,16.287269345845637,13.034710900473918,0.7737737737737738,True
WDBC__03,WDBC,mean area,True,357,212,Distribution,Binned,bins_4,10,189.21401705766482,0.6958510991745519,248.39730257292598,271.91739336492896,0.9069069069069069,False
WDBC__04,WDBC,mean smoothness,True,357,212,Mean,Means,means,2,0.00312842644560285,0.41378256440745775,0.01314053025356343,0.00756055647265563,0.978978978978979,False
WDBC__05,WDBC,mean compactness,True,357,212,Quartiles,Five-number,five_number,10,0.011507582938388633,0.30231043812042374,0.042424249935574164,0.03806545023696684,0.6236236236236237,True
WDBC__06,WDBC,mean concavity,True,357,212,Distribution,Binned,bins_4,10,0.04263676069866539,0.683274156112266,0.05726477534442374,0.06240066350710902,0.8348348348348348,False
WDBC__07,WDBC,mean concave points,True,357,212,Quartiles,Binned,bins_4,10,0.013165896226415078,0.6252714899748005,0.02446644427396679,0.02105628744874596,0.8378378378378378,False
WDBC__08,WDBC,mean symmetry,True,357,212,Mean,Means,means,2,0.010874784942596943,0.6013790018393131,0.0258965831928597,0.018083080568720385,0.8738738738738738,False
WDBC__09,WDBC,mean fractal dimension,True,357,212,Mean,Means,means,2,0.0037081152251021293,0.7203657681539161,0.007066003796831182,0.005147545023696683,0.9429429429429429,False
WDBC__10,WDBC,radius error,True,357,212,Distribution,Binned,bins_8,18,0.06145410717193098,0.34819841308975436,0.2286032068461238,0.17649163483146055,0.8898898898898899,False
WDBC__11,WDBC,texture error,True,357,212,Mean,Means,means,2,0.21747833082141077,0.5034420004930242,0.552115606860959,0.43198289099525417,0.924924924924925,False
