key,representation,configuration,N,error
HeartFailure__04,Means,means,2,1.2262712367295852
HeartFailure__04,Five-number,five_number,10,1.1242105263157904
HeartFailure__04,Observations,raw,299,0.0
HeartFailure__04,Binned,bins_4,10,0.948558946220091
HeartFailure__04,Binned,bins_8,18,0.280441419141914
HeartFailure__04,Binned,bins_16,34,0.42168749999999733
HeartFailure__04,Binned,bins_32,66,0.3818229166666671
HeartFailure__04,Binned,bins_64,130,0.3737109375000016
HeartFailure__04,Density,density_8,18,2.5758952458453335
HeartFailure__04,Density,density_16,34,0.3696031622999496
HeartFailure__04,Density,density_32,66,0.4245907667582211
HeartFailure__04,Density,density_64,130,0.4634520289909003
HeartFailure__04,Density,density_128,258,0.46948509161497465
HeartFailure__04,Density,density_256,514,0.47179763032448874
HeartFailure__05,Means,means,2,2.841748768472911
HeartFailure__05,Five-number,five_number,10,6.049504950495049
HeartFailure__05,Observations,raw,299,0.0
HeartFailure__05,Binned,bins_4,10,2.9634998513232347
HeartFailure__05,Binned,bins_8,18,1.7250939849624274
HeartFailure__05,Binned,bins_16,34,1.477977839335182
HeartFailure__05,Binned,bins_32,66,1.2298177083333428
HeartFailure__05,Binned,bins_64,130,1.290635313531368
HeartFailure__05,Density,density_8,18,2.691479483546459
HeartFailure__05,Density,density_16,34,1.0010775586376042
HeartFailure__05,Density,density_32,66,0.9598035153332205
HeartFailure__05,Density,density_64,130,0.9525759704510222
HeartFailure__05,Density,density_128,258,0.9547350471386835
HeartFailure__05,Density,density_256,514,0.9548096668993935
CKD__00,Means,means,2,16.974543790559654
CKD__00,Five-number,five_number,10,9.456431535269711
CKD__00,Observations,raw,391,0.0
CKD__00,Binned,bins_4,10,8.060526315789478
CKD__00,Binned,bins_8,18,4.647006520450507
CKD__00,Binned,bins_16,34,3.594398340248965
CKD__00,Binned,bins_32,66,2.834538567493105
CKD__00,Binned,bins_64,130,2.6745006887052263
CKD__00,Density,density_8,18,9.167404374140004
CKD__00,Density,density_16,34,4.510650509896546
CKD__00,Density,density_32,66,4.183720152678063
CKD__00,Density,density_64,130,4.011943173158588
CKD__00,Density,density_128,258,3.965756103993037
CKD__00,Density,density_256,514,3.964494628975924
CKD__01,Means,means,2,11.726351351351354
CKD__01,Five-number,five_number,10,62.0
CKD__01,Observations,raw,388,0.0
CKD__01,Binned,bins_4,10,15.428870292887026
CKD__01,Binned,bins_8,18,9.238829432950538
CKD__01,Binned,bins_16,34,7.3479166666667055
CKD__01,Binned,bins_32,66,6.371643518518482
CKD__01,Binned,bins_64,130,7.586979166666708
CKD__01,Density,density_8,18,13.487949978960884
CKD__01,Density,density_16,34,10.369931661629735
CKD__01,Density,density_32,66,8.246984165572584
CKD__01,Density,density_64,130,7.770498420963065
CKD__01,Density,density_128,258,7.551538317471909
CKD__01,Density,density_256,514,7.491358678844506
CKD__02,Means,means,2,167.4524109014673
CKD__02,Five-number,five_number,10,96.1137440758294
CKD__02,Observations,raw,356,0.0
CKD__02,Binned,bins_4,10,39.715936018957336
CKD__02,Binned,bins_8,18,17.21795437010914
CKD__02,Binned,bins_16,34,13.832092078537585
CKD__02,Binned,bins_32,66,8.87351895734605
CKD__02,Binned,bins_64,130,10.160055746140728
CKD__02,Density,density_8,18,39.304407830711824
CKD__02,Density,density_16,34,29.520340172299342
CKD__02,Density,density_32,66,15.739571966177529
CKD__02,Density,density_64,130,19.285495708166536
CKD__02,Density,density_128,258,20.168772037906578
CKD__02,Density,density_256,514,20.22124923603748
CKD__03,Means,means,2,98.40958157524608
CKD__03,Five-number,five_number,10,149.76271186440687
CKD__03,Observations,raw,381,0.0
CKD__03,Binned,bins_4,10,37.82546874999997
CKD__03,Binned,bins_8,18,19.791760460805136
CKD__03,Binned,bins_16,34,7.821351240440066
CKD__03,Binned,bins_32,66,6.665977524384445
CKD__03,Binned,bins_64,130,6.01986529757329
CKD__03,Density,density_8,18,53.23887086634392
CKD__03,Density,density_16,34,12.54607002549858
CKD__03,Density,density_32,66,10.091001263028007
CKD__03,Density,density_64,130,11.103370158246092
CKD__03,Density,density_128,258,12.125066580502468
CKD__03,Density,density_256,514,12.209196880513701
CKD__04,Means,means,2,8.799049550854818
CKD__04,Five-number,five_number,10,48.184999999999995
CKD__04,Observations,raw,383,0.0
CKD__04,Binned,bins_4,10,12.038076923076916
CKD__04,Binned,bins_8,18,8.087025316455703
CKD__04,Binned,bins_16,34,4.173734177215195
CKD__04,Binned,bins_32,66,2.0205696202531698
CKD__04,Binned,bins_64,130,0.5977531645569627
CKD__04,Density,density_8,18,11.401616039132032
CKD__04,Density,density_16,34,6.758647434021309
CKD__04,Density,density_32,66,1.670386043827154
CKD__04,Density,density_64,130,2.194459497027874
CKD__04,Density,density_128,258,2.188443033888885
CKD__04,Density,density_256,514,2.4238592932363368
CKD__05,Means,means,2,7.170751231527106
CKD__05,Five-number,five_number,10,90.6
CKD__05,Observations,raw,313,0.0
CKD__05,Binned,bins_4,10,8.72622063565177
CKD__05,Binned,bins_8,18,9.517852272727282
CKD__05,Binned,bins_16,34,4.584724572593956
CKD__05,Binned,bins_32,66,2.371639756201887
CKD__05,Binned,bins_64,130,2.3488919526143945
CKD__05,Density,density_8,18,22.565149076387684
CKD__05,Density,density_16,34,7.066875820834639
CKD__05,Density,density_32,66,4.534641628541394
CKD__05,Density,density_64,130,4.300422152022037
CKD__05,Density,density_128,258,4.24385670611116
CKD__05,Density,density_256,514,4.206698045905213
CKD__06,Means,means,2,0.9805120792896962
CKD__06,Five-number,five_number,10,32.3
CKD__06,Observations,raw,312,0.0
CKD__06,Binned,bins_4,10,1.172462577583059
CKD__06,Binned,bins_8,18,1.2362312887915294
CKD__06,Binned,bins_16,34,1.2481685671256448
CKD__06,Binned,bins_32,66,0.5338269788402457
CKD__06,Binned,bins_64,130,0.4315227914764641
CKD__06,Density,density_8,18,1.2053078163623843
CKD__06,Density,density_16,34,0.9973163031576311
CKD__06,Density,density_32,66,1.6207197923801528
CKD__06,Density,density_64,130,1.1384767742025428
CKD__06,Density,density_128,258,1.3314647447387709
CKD__06,Density,density_256,514,1.4135615110331674
CKD__07,Means,means,2,2.1443545751633986
CKD__07,Five-number,five_number,10,2.544827586206896
CKD__07,Observations,raw,348,0.0
CKD__07,Binned,bins_4,10,2.155933952528379
CKD__07,Binned,bins_8,18,0.6938983488132102
CKD__07,Binned,bins_16,34,0.30945432809656914
CKD__07,Binned,bins_32,66,0.1908415300103723
CKD__07,Binned,bins_64,130,0.16059831691297255
CKD__07,Density,density_8,18,1.0685199471414641
CKD__07,Density,density_16,34,0.46111243464209295
CKD__07,Density,density_32,66,0.3527149443280937
CKD__07,Density,density_64,130,0.33759839112132717
CKD__07,Density,density_128,258,0.343383071917728
CKD__07,Density,density_256,514,0.34450367526519976
CKD__08,Means,means,2,5.7542742720263504
CKD__08,Five-number,five_number,10,8.560439560439562
CKD__08,Observations,raw,329,0.0
CKD__08,Binned,bins_4,10,5.360379464285714
CKD__08,Binned,bins_8,18,1.5107314560439598
CKD__08,Binned,bins_16,34,1.3554884155253646
CKD__08,Binned,bins_32,66,1.1944171899529081
CKD__08,Binned,bins_64,130,1.0763056506849225
CKD__08,Density,density_8,18,3.8161882875267708
CKD__08,Density,density_16,34,1.6673460639783428
CKD__08,Density,density_32,66,1.4202963422097028
CKD__08,Density,density_64,130,1.3521907096801407
CKD__08,Density,density_128,258,1.3485616213282832
CKD__08,Density,density_256,514,1.3501569521847223
CKD__09,Means,means,2,3136.0579817533453
CKD__09,Five-number,five_number,10,8089.999999999996
CKD__09,Observations,raw,294,0.0
CKD__09,Binned,bins_4,10,2385.8333333333394
CKD__09,Binned,bins_8,18,917.9473684210534
CKD__09,Binned,bins_16,34,848.3249999999989
CKD__09,Binned,bins_32,66,711.5
CKD__09,Binned,bins_64,130,659.09676232524
CKD__09,Density,density_8,18,1741.7144221379003
CKD__09,Density,density_16,34,733.884361614244
CKD__09,Density,density_32,66,764.6746034968546
CKD__09,Density,density_64,130,751.0495291156603
CKD__09,Density,density_128,258,762.3711591084757
CKD__09,Density,density_256,514,763.2602761493545
CKD__10,Means,means,2,0.4662171162171158
CKD__10,Five-number,five_number,10,2.0999999999999996
CKD__10,Observations,raw,269,0.0
CKD__10,Binned,bins_4,10,0.4556255384615384
CKD__10,Binned,bins_8,18,0.23466517857142843
CKD__10,Binned,bins_16,34,0.17689621212121276
CKD__10,Binned,bins_32,66,0.1681796874999999
CKD__10,Binned,bins_64,130,0.13139451291079762
CKD__10,Density,density_8,18,0.4870975897511882
CKD__10,Density,density_16,34,0.20176315116381005
CKD__10,Density,density_32,66,0.16852157529535017
CKD__10,Density,density_64,130,0.16137599881075904
CKD__10,Density,density_128,258,0.16064932183124192
CKD__10,Density,density_256,514,0.16030042628053387
ILPD__00,Means,means,2,4.9143251957623235
ILPD__00,Five-number,five_number,10,3.612048192771084
ILPD__00,Observations,raw,583,0.0
ILPD__00,Binned,bins_4,10,6.149254652449853
ILPD__00,Binned,bins_8,18,2.7869564870174486
ILPD__00,Binned,bins_16,34,2.841329604130813
ILPD__00,Binned,bins_32,66,2.7670331325301234
ILPD__00,Binned,bins_64,130,1.440323795180717
ILPD__00,Density,density_8,18,7.868386498735497
ILPD__00,Density,density_16,34,4.940089388779896
ILPD__00,Density,density_32,66,4.761166140752621
ILPD__00,Density,density_64,130,4.7051531956948764
ILPD__00,Density,density_128,258,4.663577365718098
ILPD__00,Density,density_256,514,4.6660095211445025
ILPD__01,Means,means,2,13.1530918931368
ILPD__01,Five-number,five_number,10,38.607951807228915
ILPD__01,Observations,raw,583,0.0
ILPD__01,Binned,bins_4,10,15.046184210526313
ILPD__01,Binned,bins_8,18,7.516967179061076
ILPD__01,Binned,bins_16,34,3.2195771279562715
ILPD__01,Binned,bins_32,66,1.3678118779465698
ILPD__01,Binned,bins_64,130,0.5720325788447926
ILPD__01,Density,density_8,18,9.894265197976525
ILPD__01,Density,density_16,34,6.176871965293641
ILPD__01,Density,density_32,66,1.7503153988122069
ILPD__01,Density,density_64,130,1.5410655136191482
ILPD__01,Density,density_128,258,2.063991776877163
ILPD__01,Density,density_256,514,2.2409026268507573
ILPD__02,Means,means,2,6.81284949332105
ILPD__02,Five-number,five_number,10,5.204578313253013
ILPD__02,Observations,raw,583,0.0
ILPD__02,Binned,bins_4,10,4.175748153905948
ILPD__02,Binned,bins_8,18,1.6219857478695285
ILPD__02,Binned,bins_16,34,0.7404063336680048
ILPD__02,Binned,bins_32,66,0.36963872732308556
ILPD__02,Binned,bins_64,130,0.346574519230761
ILPD__02,Density,density_8,18,3.7109544621752306
ILPD__02,Density,density_16,34,1.0843905917635972
ILPD__02,Density,density_32,66,1.1095719952467649
ILPD__02,Density,density_64,130,0.8649733154656368
ILPD__02,Density,density_128,258,0.9229763895781172
ILPD__02,Density,density_256,514,0.9615454224914359
ILPD__03,Means,means,2,301.39727947950263
ILPD__03,Five-number,five_number,10,113.6204819277109
ILPD__03,Observations,raw,583,0.0
ILPD__03,Binned,bins_4,10,222.466320345682
ILPD__03,Binned,bins_8,18,63.15666423974034
ILPD__03,Binned,bins_16,34,53.92930693361683
ILPD__03,Binned,bins_32,66,31.541125962182065
ILPD__03,Binned,bins_64,130,26.76303965863565
ILPD__03,Density,density_8,18,116.19858993013446
ILPD__03,Density,density_16,34,89.95880178869669
ILPD__03,Density,density_32,66,32.1519833040262
ILPD__03,Density,density_64,130,28.748199260841716
ILPD__03,Density,density_128,258,30.258089434367378
ILPD__03,Density,density_256,514,30.21640465342125
ILPD__04,Means,means,2,244.44692538000913
ILPD__04,Five-number,five_number,10,1166.6144578313254
ILPD__04,Observations,raw,583,0.0
ILPD__04,Binned,bins_4,10,295.2023707734162
ILPD__04,Binned,bins_8,18,198.5923694779112
ILPD__04,Binned,bins_16,34,81.34289676126141
ILPD__04,Binned,bins_32,66,23.37925118194299
ILPD__04,Binned,bins_64,130,16.74762801204747
ILPD__04,Density,density_8,18,282.14590413641605
ILPD__04,Density,density_16,34,152.85862510031552
ILPD__04,Density,density_32,66,121.92278481793514
ILPD__04,Density,density_64,130,70.75156489322067
ILPD__04,Density,density_128,258,65.72143559334864
ILPD__04,Density,density_256,514,71.20900095008297
ILPD__05,Means,means,2,361.98910352372184
ILPD__05,Five-number,five_number,10,3269.2499999999995
ILPD__05,Observations,raw,583,0.0
ILPD__05,Binned,bins_4,10,447.6576456310682
ILPD__05,Binned,bins_8,18,432.58200376884434
ILPD__05,Binned,bins_16,34,208.41539013195626
ILPD__05,Binned,bins_32,66,87.1200352017828
ILPD__05,Binned,bins_64,130,37.58880820902715
ILPD__05,Density,density_8,18,384.0797406208695
ILPD__05,Density,density_16,34,195.12001744983007
ILPD__05,Density,density_32,66,204.50611897726128
ILPD__05,Density,density_64,130,103.23561148256414
ILPD__05,Density,density_128,258,92.62367715773905
ILPD__05,Density,density_256,514,109.31908808402224
ILPD__06,Means,means,2,0.2160208429295274
ILPD__06,Five-number,five_number,10,0.7118072289156636
ILPD__06,Observations,raw,583,0.0
ILPD__06,Binned,bins_4,10,0.32277911646586777
ILPD__06,Binned,bins_8,18,0.20254192219641354
ILPD__06,Binned,bins_16,34,0.14536434198331882
ILPD__06,Binned,bins_32,66,0.11676102135816002
ILPD__06,Binned,bins_64,130,0.09576995481927586
ILPD__06,Density,density_8,18,0.316270250335819
ILPD__06,Density,density_16,34,0.23386758732873858
ILPD__06,Density,density_32,66,0.17561601505415236
ILPD__06,Density,density_64,130,0.1802407064399425
ILPD__06,Density,density_128,258,0.17845261245864652
ILPD__06,Density,density_256,514,0.17931227020314644
ILPD__07,Means,means,2,0.21626554583141422
ILPD__07,Five-number,five_number,10,0.555421686746989
ILPD__07,Observations,raw,583,0.0
ILPD__07,Binned,bins_4,10,0.4084939759036139
ILPD__07,Binned,bins_8,18,0.20211746987951784
ILPD__07,Binned,bins_16,34,0.18109818954964263
ILPD__07,Binned,bins_32,66,0.15819578313252958
ILPD__07,Binned,bins_64,130,0.1324829101562499
ILPD__07,Density,density_8,18,0.2548614578374586
ILPD__07,Density,density_16,34,0.17790320862603792
ILPD__07,Density,density_32,66,0.1550172580225464
ILPD__07,Density,density_64,130,0.15452097595457026
ILPD__07,Density,density_128,258,0.1539831493497239
ILPD__07,Density,density_256,514,0.15392306930852673
ILPD__08,Means,means,2,0.11539701361440491
ILPD__08,Five-number,five_number,10,0.7869249394673123
ILPD__08,Observations,raw,579,0.0
ILPD__08,Binned,bins_4,10,0.16400601793478453
ILPD__08,Binned,bins_8,18,0.13646554467438654
ILPD__08,Binned,bins_16,34,0.12487702274859336
ILPD__08,Binned,bins_32,66,0.1030539525261327
ILPD__08,Binned,bins_64,130,0.0737892316017309
ILPD__08,Density,density_8,18,0.22991513324669266
ILPD__08,Density,density_16,34,0.12471497909125451
ILPD__08,Density,density_32,66,0.11278926972192038
ILPD__08,Density,density_64,130,0.11029069393773805
ILPD__08,Density,density_128,258,0.10997589509137062
ILPD__08,Density,density_256,514,0.109762555101522
Parkinsons__00,Means,means,2,35.30020199275363
Parkinsons__00,Five-number,five_number,10,21.50104347826087
Parkinsons__00,Observations,raw,32,0.0
Parkinsons__00,Binned,bins_4,10,44.56912499999996
Parkinsons__00,Binned,bins_8,18,44.56912499999996
Parkinsons__00,Binned,bins_16,34,39.028406249999975
Parkinsons__00,Binned,bins_32,66,43.64567187499996
Parkinsons__00,Binned,bins_64,130,43.64567187499996
Parkinsons__00,Density,density_8,18,33.20191351526767
Parkinsons__00,Density,density_16,34,33.46860889835588
Parkinsons__00,Density,density_32,66,32.23638596497946
Parkinsons__00,Density,density_64,130,32.152460702998724
Parkinsons__00,Density,density_128,258,32.15374548555732
Parkinsons__00,Density,density_256,514,32.14906046558917
Parkinsons__01,Means,means,2,42.92535869565222
Parkinsons__01,Five-number,five_number,10,151.13264999999998
Parkinsons__01,Observations,raw,32,0.0
Parkinsons__01,Binned,bins_4,10,30.26873392210146
Parkinsons__01,Binned,bins_8,18,31.141899999999936
Parkinsons__01,Binned,bins_16,34,33.930520833333276
Parkinsons__01,Binned,bins_32,66,42.644960937499945
Parkinsons__01,Binned,bins_64,130,40.90207291666661
Parkinsons__01,Density,density_8,18,38.720650411504124
Parkinsons__01,Density,density_16,34,26.33434745451325
Parkinsons__01,Density,density_32,66,24.32979264932706
Parkinsons__01,Density,density_64,130,23.940045578358024
Parkinsons__01,Density,density_128,258,23.78168245319057
Parkinsons__01,Density,density_256,514,23.741016832816797
Parkinsons__02,Means,means,2,41.59172916666667
Parkinsons__02,Five-number,five_number,10,18.460478260869564
Parkinsons__02,Observations,raw,32,0.0
Parkinsons__02,Binned,bins_4,10,15.38018750000002
Parkinsons__02,Binned,bins_8,18,15.380187500000005
Parkinsons__02,Binned,bins_16,34,22.212046875
Parkinsons__02,Binned,bins_32,66,21.343281249999976
Parkinsons__02,Binned,bins_64,130,20.504343750000004
Parkinsons__02,Density,density_8,18,34.21421930485707
Parkinsons__02,Density,density_16,34,30.554573820440282
Parkinsons__02,Density,density_32,66,30.798940172804834
Parkinsons__02,Density,density_64,130,31.595592243915434
Parkinsons__02,Density,density_128,258,31.445809308010325
Parkinsons__02,Density,density_256,514,31.476706802560443
Parkinsons__03,Means,means,2,0.007640624999999989
Parkinsons__03,Five-number,five_number,10,0.003616956521739132
Parkinsons__03,Observations,raw,32,0.0
Parkinsons__03,Binned,bins_4,10,0.0035167499999999886
Parkinsons__03,Binned,bins_8,18,0.0037412500000000085
Parkinsons__03,Binned,bins_16,34,0.0050233333333333414
Parkinsons__03,Binned,bins_32,66,0.005664375000000008
Parkinsons__03,Binned,bins_64,130,0.005504114583333341
Parkinsons__03,Density,density_8,18,0.001683556600688224
Parkinsons__03,Density,density_16,34,0.0018567416291843247
Parkinsons__03,Density,density_32,66,0.0021391132699848884
Parkinsons__03,Density,density_64,130,0.002160931059706035
Parkinsons__03,Density,density_128,258,0.002178833177474043
Parkinsons__03,Density,density_256,514,0.0021825683257300065
Parkinsons__04,Means,means,2,2.897916666666667e-05
Parkinsons__04,Five-number,five_number,10,3.174999999999999e-05
Parkinsons__04,Observations,raw,32,0.0
Parkinsons__04,Binned,bins_4,10,1.5128105590062113e-05
Parkinsons__04,Binned,bins_8,18,1.0754227053140096e-05
Parkinsons__04,Binned,bins_16,34,7.43863224637681e-06
Parkinsons__04,Binned,bins_32,66,1.2148437500000013e-05
Parkinsons__04,Binned,bins_64,130,1.1167968750000008e-05
Parkinsons__04,Density,density_8,18,1.232647826023511e-05
Parkinsons__04,Density,density_16,34,1.1538198039443324e-05
Parkinsons__04,Density,density_32,66,1.1598330497944709e-05
Parkinsons__04,Density,density_64,130,1.120230435683496e-05
Parkinsons__04,Density,density_128,258,1.1116722857976255e-05
Parkinsons__04,Density,density_256,514,1.1097255623590731e-05
Parkinsons__05,Means,means,2,0.0044462916666666566
Parkinsons__05,Five-number,five_number,10,0.003073043478260872
Parkinsons__05,Observations,raw,32,0.0
Parkinsons__05,Binned,bins_4,10,0.0018359999999999913
Parkinsons__05,Binned,bins_8,18,0.0030608333333333377
Parkinsons__05,Binned,bins_16,34,0.003845416666666671
Parkinsons__05,Binned,bins_32,66,0.003943489583333338
Parkinsons__05,Binned,bins_64,130,0.0039925260416666716
Parkinsons__05,Density,density_8,18,0.001491070777066529
Parkinsons__05,Density,density_16,34,0.0017527729520880738
Parkinsons__05,Density,density_32,66,0.0018182326007281746
Parkinsons__05,Density,density_64,130,0.0018825029180821475
Parkinsons__05,Density,density_128,258,0.0018894269728856688
Parkinsons__05,Density,density_256,514,0.0018937008113098976
Parkinsons__06,Means,means,2,0.004380249999999997
Parkinsons__06,Five-number,five_number,10,0.0013702173913043474
Parkinsons__06,Observations,raw,32,0.0
Parkinsons__06,Binned,bins_4,10,0.001940749999999998
Parkinsons__06,Binned,bins_8,18,0.0008266666666666678
Parkinsons__06,Binned,bins_16,34,0.0009062500000000017
Parkinsons__06,Binned,bins_32,66,0.001287916666666669
Parkinsons__06,Binned,bins_64,130,0.0013356250000000017
Parkinsons__06,Density,density_8,18,0.0007529691898466848
Parkinsons__06,Density,density_16,34,0.0005827009351245336
Parkinsons__06,Density,density_32,66,0.0006656403707008152
Parkinsons__06,Density,density_64,130,0.0007658380368852774
Parkinsons__06,Density,density_128,258,0.0007777026970386811
Parkinsons__06,Density,density_256,514,0.0007830421732693832
Parkinsons__07,Means,means,2,0.013327874999999975
Parkinsons__07,Five-number,five_number,10,0.009228478260869572
Parkinsons__07,Observations,raw,32,0.0
Parkinsons__07,Binned,bins_4,10,0.005499249999999975
Parkinsons__07,Binned,bins_8,18,0.009187916666666686
Parkinsons__07,Binned,bins_16,34,0.011541250000000019
Parkinsons__07,Binned,bins_32,66,0.011835416666666687
Parkinsons__07,Binned,bins_64,130,0.01198250000000002
Parkinsons__07,Density,density_8,18,0.004470739794031077
Parkinsons__07,Density,density_16,34,0.005260823435866788
Parkinsons__07,Density,density_32,66,0.005455584969019158
Parkinsons__07,Density,density_64,130,0.0056500397279553565
Parkinsons__07,Density,density_128,258,0.005671182824216801
Parkinsons__07,Density,density_256,514,0.0056837196669912195
Parkinsons__08,Means,means,2,0.02546449999999998
Parkinsons__08,Five-number,five_number,10,0.0070323913043478375
Parkinsons__08,Observations,raw,32,0.0
Parkinsons__08,Binned,bins_4,10,0.00392439440993789
Parkinsons__08,Binned,bins_8,18,0.007845069444444464
Parkinsons__08,Binned,bins_16,34,0.00869416666666669
Parkinsons__08,Binned,bins_32,66,0.007420520833333354
Parkinsons__08,Binned,bins_64,130,0.007738932291666688
Parkinsons__08,Density,density_8,18,0.010151525287623224
Parkinsons__08,Density,density_16,34,0.002693018668103321
Parkinsons__08,Density,density_32,66,0.0036200563641800992
Parkinsons__08,Density,density_64,130,0.004147819794657406
Parkinsons__08,Density,density_128,258,0.004272258154099401
Parkinsons__08,Density,density_256,514,0.00430750168204367
Parkinsons__09,Means,means,2,0.2323249999999999
Parkinsons__09,Five-number,five_number,10,0.15254347826086967
Parkinsons__09,Observations,raw,32,0.0
Parkinsons__09,Binned,bins_4,10,0.0584239130434783
Parkinsons__09,Binned,bins_8,18,0.04593840579710151
Parkinsons__09,Binned,bins_16,34,0.05820833333333336
Parkinsons__09,Binned,bins_32,66,0.0657916666666668
Parkinsons__09,Binned,bins_64,130,0.06958333333333344
Parkinsons__09,Density,density_8,18,0.07308181380610716
Parkinsons__09,Density,density_16,34,0.035137923011768726
Parkinsons__09,Density,density_32,66,0.04513140950195299
Parkinsons__09,Density,density_64,130,0.04933899629203986
Parkinsons__09,Density,density_128,258,0.05077359928904995
Parkinsons__09,Density,density_256,514,0.05085317473557949
Parkinsons__10,Means,means,2,0.013143208333333333
Parkinsons__10,Five-number,five_number,10,0.0019119565217391374
Parkinsons__10,Observations,raw,32,0.0
Parkinsons__10,Binned,bins_4,10,0.005321749999999997
Parkinsons__10,Binned,bins_8,18,0.0023287499999999975
Parkinsons__10,Binned,bins_16,34,0.003692083333333339
Parkinsons__10,Binned,bins_32,66,0.004003854166666671
Parkinsons__10,Binned,bins_64,130,0.004159739583333346
Parkinsons__10,Density,density_8,18,0.005519379492924543
Parkinsons__10,Density,density_16,34,0.001995928091302439
Parkinsons__10,Density,density_32,66,0.0016786596516789182
Parkinsons__10,Density,density_64,130,0.0016829309538381344
Parkinsons__10,Density,density_128,258,0.0017376057920191982
Parkinsons__10,Density,density_256,514,0.0017577050742227716
Parkinsons__11,Means,means,2,0.016667833333333337
Parkinsons__11,Five-number,five_number,10,0.0034904347826086868
Parkinsons__11,Observations,raw,32,0.0
Parkinsons__11,Binned,bins_4,10,0.00267160326086956
Parkinsons__11,Binned,bins_8,18,0.0031715625000000025
Parkinsons__11,Binned,bins_16,34,0.0031715625000000025
Parkinsons__11,Binned,bins_32,66,0.004401093750000001
Parkinsons__11,Binned,bins_64,130,0.004401093750000001
Parkinsons__11,Density,density_8,18,0.006428881007473799
Parkinsons__11,Density,density_16,34,0.0027479598345797433
Parkinsons__11,Density,density_32,66,0.002749886835612586
Parkinsons__11,Density,density_64,130,0.002942874989977832
Parkinsons__11,Density,density_128,258,0.002986983530047952
Parkinsons__11,Density,density_256,514,0.00300356538406908
Parkinsons__12,Means,means,2,0.02339749999999998
Parkinsons__12,Five-number,five_number,10,0.013014782608695655
Parkinsons__12,Observations,raw,32,0.0
Parkinsons__12,Binned,bins_4,10,0.005000652173913045
Parkinsons__12,Binned,bins_8,18,0.004842083333333344
Parkinsons__12,Binned,bins_16,34,0.007779166666666684
Parkinsons__12,Binned,bins_32,66,0.009247708333333347
Parkinsons__12,Binned,bins_64,130,0.010086875000000016
Parkinsons__12,Density,density_8,18,0.004934506456080113
Parkinsons__12,Density,density_16,34,0.0036759437951078226
Parkinsons__12,Density,density_32,66,0.004801793061899425
Parkinsons__12,Density,density_64,130,0.0053665942412781005
Parkinsons__12,Density,density_128,258,0.005545086334586762
Parkinsons__12,Density,density_256,514,0.0055804245241951565
Parkinsons__13,Means,means,2,0.0394252083333333
Parkinsons__13,Five-number,five_number,10,0.005754130434782609
Parkinsons__13,Observations,raw,32,0.0
Parkinsons__13,Binned,bins_4,10,0.01595874999999996
Parkinsons__13,Binned,bins_8,18,0.006979749999999979
Parkinsons__13,Binned,bins_16,34,0.011090416666666679
Parkinsons__13,Binned,bins_32,66,0.01202572916666668
Parkinsons__13,Binned,bins_64,130,0.012493385416666676
Parkinsons__13,Density,density_8,18,0.016544618529105666
Parkinsons__13,Density,density_16,34,0.005985469228095737
Parkinsons__13,Density,density_32,66,0.0050269519200183965
Parkinsons__13,Density,density_64,130,0.005039110178111851
Parkinsons__13,Density,density_128,258,0.005206070835490532
Parkinsons__13,Density,density_256,514,0.005266894082905876
Parkinsons__14,Means,means,2,0.02938137499999998
Parkinsons__14,Five-number,five_number,10,0.04514760869565222
Parkinsons__14,Observations,raw,32,0.0
Parkinsons__14,Binned,bins_4,10,0.018138511904761925
Parkinsons__14,Binned,bins_8,18,0.018479062500000008
Parkinsons__14,Binned,bins_16,34,0.0184790625
Parkinsons__14,Binned,bins_32,66,0.02290609375
Parkinsons__14,Binned,bins_64,130,0.022906093750000005
Parkinsons__14,Density,density_8,18,0.020611676537404047
Parkinsons__14,Density,density_16,34,0.0044098521773745306
Parkinsons__14,Density,density_32,66,0.0058741603364752225
Parkinsons__14,Density,density_64,130,0.00533451543642903
Parkinsons__14,Density,density_128,258,0.00557000917860514
Parkinsons__14,Density,density_256,514,0.0055533040716725865
Parkinsons__15,Means,means,2,2.9344420289855044
Parkinsons__15,Five-number,five_number,10,2.1736521739130445
Parkinsons__15,Observations,raw,32,0.0
Parkinsons__15,Binned,bins_4,10,3.4880326086956526
Parkinsons__15,Binned,bins_8,18,1.8850149456521734
Parkinsons__15,Binned,bins_16,34,3.274874999999998
Parkinsons__15,Binned,bins_32,66,3.8679062499999937
Parkinsons__15,Binned,bins_64,130,3.8679062499999937
Parkinsons__15,Density,density_8,18,2.831629137778984
Parkinsons__15,Density,density_16,34,2.2262873213019105
Parkinsons__15,Density,density_32,66,2.148347662576331
Parkinsons__15,Density,density_64,130,2.0916684290657273
Parkinsons__15,Density,density_128,258,2.0845797722131216
Parkinsons__15,Density,density_256,514,2.0826874952347474
Parkinsons__16,Means,means,2,0.0704567797619049
Parkinsons__16,Five-number,five_number,10,0.021206989130434728
Parkinsons__16,Observations,raw,32,0.0
Parkinsons__16,Binned,bins_4,10,0.05448758500000006
Parkinsons__16,Binned,bins_8,18,0.04622246250000006
Parkinsons__16,Binned,bins_16,34,0.039001250000000154
Parkinsons__16,Binned,bins_32,66,0.04898306250000006
Parkinsons__16,Binned,bins_64,130,0.050216187500000065
Parkinsons__16,Density,density_8,18,0.053784734748934915
Parkinsons__16,Density,density_16,34,0.048520765104520136
