key,dataset,kind,task,family,H,observer,loss,score,successful,winner,setting
comp_CKD_0,CKD,empirical,composition,Stacked bar,384,soft,0.0089975635116982,99.108267072481,4,False,one strip
comp_CKD_1,CKD,empirical,composition,Bar chart,256,hard,0.0073283988711101,99.27249158473812,4,False,values
comp_CKD_1,CKD,empirical,composition,Bar chart,256,soft,0.0186577057161394,98.16840282938588,4,False,values
comp_CKD_1,CKD,empirical,composition,Pie chart,256,hard,0.0025310571041136,99.74753329723022,4,False,sectors
comp_CKD_1,CKD,empirical,composition,Pie chart,256,soft,0.0052791799703846,99.47485434140393,4,True,sectors
comp_CKD_1,CKD,empirical,composition,Donut chart,256,hard,0.0024033519678699,99.7602410284092,4,True,52% hole
comp_CKD_1,CKD,empirical,composition,Donut chart,256,soft,0.0090069218068836,99.10734786727188,4,False,52% hole
comp_CKD_1,CKD,empirical,composition,Stacked bar,256,hard,0.0058385443945075,99.41953463336183,4,False,one strip
comp_CKD_1,CKD,empirical,composition,Stacked bar,256,soft,0.0116129100271019,98.8520401517226,4,False,one strip
comp_CKD_1,CKD,empirical,composition,Bar chart,384,hard,0.0055641568939895,99.44666316357414,4,False,values
comp_CKD_1,CKD,empirical,composition,Bar chart,384,soft,0.0119351339503769,98.82056333949149,4,False,values
comp_CKD_1,CKD,empirical,composition,Pie chart,384,hard,0.0014002128650702,99.8601744989584,4,True,sectors
comp_CKD_1,CKD,empirical,composition,Pie chart,384,soft,0.0031830588462401,99.68270408693893,4,True,sectors
comp_CKD_1,CKD,empirical,composition,Donut chart,384,hard,0.0014317386581208,99.85703082867742,4,False,52% hole
comp_CKD_1,CKD,empirical,composition,Donut chart,384,soft,0.0056248934498533,99.4406569003521,4,False,52% hole
comp_CKD_1,CKD,empirical,composition,Stacked bar,384,hard,0.0039599028590478,99.60557161219576,4,False,one strip
comp_CKD_1,CKD,empirical,composition,Stacked bar,384,soft,0.0066130235326402,99.34304212462578,4,False,one strip
cohort_CKD,CKD,empirical,composition,Bar chart,256,hard,0.0028858930346135,99.7122411378346,4,False,values
cohort_CKD,CKD,empirical,composition,Bar chart,256,soft,0.000930483744171,99.90703812509632,4,True,values
cohort_CKD,CKD,empirical,composition,Pie chart,256,hard,0.000945532225031,99.9055360961621,4,True,sectors
cohort_CKD,CKD,empirical,composition,Pie chart,256,soft,0.0013141794158133,99.8687545385026,4,False,sectors
cohort_CKD,CKD,empirical,composition,Donut chart,256,hard,0.0009863633116002,99.90146086422826,4,False,52% hole
cohort_CKD,CKD,empirical,composition,Donut chart,256,soft,0.00141925669547,99.85827547393552,4,False,52% hole
cohort_CKD,CKD,empirical,composition,Stacked bar,256,hard,0.0031194472051246,99.68902534849504,4,False,one strip
cohort_CKD,CKD,empirical,composition,Stacked bar,256,soft,0.0020313358820484,99.79727820784562,4,False,one strip
cohort_CKD,CKD,empirical,composition,Bar chart,384,hard,0.0022784782685237,99.77267013929504,4,False,values
cohort_CKD,CKD,empirical,composition,Bar chart,384,soft,0.0002802856631936,99.97197928748464,4,True,values
cohort_CKD,CKD,empirical,composition,Pie chart,384,hard,0.0005678239641626,99.94324982769156,4,True,sectors
cohort_CKD,CKD,empirical,composition,Pie chart,384,soft,0.0006431355971811,99.93572777603704,4,False,sectors
cohort_CKD,CKD,empirical,composition,Donut chart,384,hard,0.0006269001587197,99.93734925988694,4,False,52% hole
cohort_CKD,CKD,empirical,composition,Donut chart,384,soft,0.0007633141644693,99.92372680396396,4,False,52% hole
cohort_CKD,CKD,empirical,composition,Stacked bar,384,hard,0.0019382304632891,99.80655190067029,4,False,one strip
cohort_CKD,CKD,empirical,composition,Stacked bar,384,soft,0.0010792644095143,99.89218991463667,4,False,one strip
comp_Cleveland_0,Cleveland,empirical,composition,Bar chart,256,hard,0.0100155381006161,99.00837781966692,4,False,values
comp_Cleveland_0,Cleveland,empirical,composition,Bar chart,256,soft,0.0225100932059525,97.79854562262804,4,False,values
comp_Cleveland_0,Cleveland,empirical,composition,Pie chart,256,hard,0.0027968614657738,99.72109391510403,4,True,sectors
comp_Cleveland_0,Cleveland,empirical,composition,Pie chart,256,soft,0.00614849306189,99.38890798880202,4,True,sectors
comp_Cleveland_0,Cleveland,empirical,composition,Donut chart,256,hard,0.0029566961595184,99.70520201212672,4,False,52% hole
comp_Cleveland_0,Cleveland,empirical,composition,Donut chart,256,soft,0.0107376955665519,98.9376377655992,4,False,52% hole
comp_Cleveland_0,Cleveland,empirical,composition,Stacked bar,256,hard,0.0072861489905805,99.27665549676404,4,False,one strip
comp_Cleveland_0,Cleveland,empirical,composition,Stacked bar,256,soft,0.0129314236599793,98.7233663249132,4,False,one strip
comp_Cleveland_0,Cleveland,empirical,composition,Bar chart,384,hard,0.0065682137554678,99.34746461633613,4,False,values
comp_Cleveland_0,Cleveland,empirical,composition,Bar chart,384,soft,0.0146879018401909,98.55247098013552,4,False,values
comp_Cleveland_0,Cleveland,empirical,composition,Pie chart,384,hard,0.0016057400931997,99.83968341744423,4,True,sectors
comp_Cleveland_0,Cleveland,empirical,composition,Pie chart,384,soft,0.0037376518626803,99.627626615805,4,True,sectors
comp_Cleveland_0,Cleveland,empirical,composition,Donut chart,384,hard,0.0018205400371249,99.81827683059308,4,False,52% hole
comp_Cleveland_0,Cleveland,empirical,composition,Donut chart,384,soft,0.0067758893850647,99.32697142864602,4,False,52% hole
comp_Cleveland_0,Cleveland,empirical,composition,Stacked bar,384,hard,0.0042122218871976,99.580544650285,4,False,one strip
comp_Cleveland_0,Cleveland,empirical,composition,Stacked bar,384,soft,0.0083440549885612,99.17249921321192,4,False,one strip
comp_Cleveland_1,Cleveland,empirical,composition,Bar chart,256,hard,0.0082973379913994,99.1770941290068,4,False,values
comp_Cleveland_1,Cleveland,empirical,composition,Bar chart,256,soft,0.0183297112804516,98.20002194992388,4,False,values
comp_Cleveland_1,Cleveland,empirical,composition,Pie chart,256,hard,0.0025108660023666,99.74954226557372,4,False,sectors
comp_Cleveland_1,Cleveland,empirical,composition,Pie chart,256,soft,0.0053827373395738,99.46460813979982,4,True,sectors
comp_Cleveland_1,Cleveland,empirical,composition,Donut chart,256,hard,0.0023612296077538,99.76443326637067,4,True,52% hole
comp_Cleveland_1,Cleveland,empirical,composition,Donut chart,256,soft,0.0091183443812071,99.0964048536053,4,False,52% hole
comp_Cleveland_1,Cleveland,empirical,composition,Stacked bar,256,hard,0.0076365507602525,99.24213241823249,4,False,one strip
comp_Cleveland_1,Cleveland,empirical,composition,Stacked bar,256,soft,0.0108959482729615,98.9221493773344,4,False,one strip
comp_Cleveland_1,Cleveland,empirical,composition,Bar chart,384,hard,0.0060868170891397,99.39500081049164,4,False,values
comp_Cleveland_1,Cleveland,empirical,composition,Bar chart,384,soft,0.0122933624100659,98.78559290551922,4,False,values
comp_Cleveland_1,Cleveland,empirical,composition,Pie chart,384,hard,0.0013870783010006,99.86148430201897,4,True,sectors
comp_Cleveland_1,Cleveland,empirical,composition,Pie chart,384,soft,0.003257128916013,99.67534455304272,4,True,sectors
comp_Cleveland_1,Cleveland,empirical,composition,Donut chart,384,hard,0.0014353019712009,99.85667551679316,4,False,52% hole
comp_Cleveland_1,Cleveland,empirical,composition,Donut chart,384,soft,0.0057748612299955,99.42582963120265,4,False,52% hole
comp_Cleveland_1,Cleveland,empirical,composition,Stacked bar,384,hard,0.0039234552334869,99.6091878107804,4,False,one strip
comp_Cleveland_1,Cleveland,empirical,composition,Stacked bar,384,soft,0.0070036130517278,99.30450964018854,4,False,one strip
cohort_Cleveland,Cleveland,empirical,composition,Bar chart,256,hard,0.0026209791573019,99.73858724166088,4,False,values
cohort_Cleveland,Cleveland,empirical,composition,Bar chart,256,soft,0.0014684197336074,99.85337333612596,4,False,values
cohort_Cleveland,Cleveland,empirical,composition,Pie chart,256,hard,0.0007228253608619,99.92776967382538,4,True,sectors
cohort_Cleveland,Cleveland,empirical,composition,Pie chart,256,soft,0.0013519023853157,99.86499227872883,4,True,sectors
cohort_Cleveland,Cleveland,empirical,composition,Donut chart,256,hard,0.0008471468580565,99.91535701922956,4,False,52% hole
cohort_Cleveland,Cleveland,empirical,composition,Donut chart,256,soft,0.0015890930351465,99.84134281750902,4,False,52% hole
cohort_Cleveland,Cleveland,empirical,composition,Stacked bar,256,hard,0.0028750116509635,99.71332303451948,4,False,one strip
cohort_Cleveland,Cleveland,empirical,composition,Stacked bar,256,soft,0.0023146446673514,99.76907005403282,4,False,one strip
cohort_Cleveland,Cleveland,empirical,composition,Bar chart,384,hard,0.0030806615669867,99.69287997615524,4,False,values
cohort_Cleveland,Cleveland,empirical,composition,Bar chart,384,soft,0.0006229030026518,99.93774847639578,4,True,values
cohort_Cleveland,Cleveland,empirical,composition,Pie chart,384,hard,0.0004886801275239,99.95115585640993,4,True,sectors
cohort_Cleveland,Cleveland,empirical,composition,Pie chart,384,soft,0.0006792480471589,99.93212130175732,4,False,sectors
cohort_Cleveland,Cleveland,empirical,composition,Donut chart,384,hard,0.0006528527367553,99.93475732018652,4,False,52% hole
cohort_Cleveland,Cleveland,empirical,composition,Donut chart,384,soft,0.0008861888720947,99.91145957632872,4,False,52% hole
cohort_Cleveland,Cleveland,empirical,composition,Stacked bar,384,hard,0.0016271321645695,99.8375511093581,4,False,one strip
cohort_Cleveland,Cleveland,empirical,composition,Stacked bar,384,soft,0.001272688344406,99.87289293324174,4,False,one strip
comp_HAR_0,HAR,empirical,composition,Bar chart,256,hard,0.0046973775631458,99.53245846281204,4,False,values
comp_HAR_0,HAR,empirical,composition,Bar chart,256,soft,0.0147863215952902,98.54291280039668,4,False,values
comp_HAR_0,HAR,empirical,composition,Pie chart,256,hard,0.0009992288660591,99.90017685955752,4,True,sectors
comp_HAR_0,HAR,empirical,composition,Pie chart,256,soft,0.0045388421336308,99.54816658716848,4,True,sectors
comp_HAR_0,HAR,empirical,composition,Donut chart,256,hard,0.0011325804653721,99.88687008219776,4,False,52% hole
comp_HAR_0,HAR,empirical,composition,Donut chart,256,soft,0.0089301364675031,99.11489050185678,4,False,52% hole
comp_HAR_0,HAR,empirical,composition,Stacked bar,256,hard,0.0034844587662231,99.65276405271815,4,False,one strip
comp_HAR_0,HAR,empirical,composition,Stacked bar,256,soft,0.008121328720405,99.19440959247304,4,False,one strip
comp_HAR_0,HAR,empirical,composition,Bar chart,384,hard,0.003306257700053,99.67046376171994,4,False,values
comp_HAR_0,HAR,empirical,composition,Bar chart,384,soft,0.0094011043112682,99.06864533126472,4,False,values
comp_HAR_0,HAR,empirical,composition,Pie chart,384,hard,0.0007035861965315,99.92969084889504,4,True,sectors
comp_HAR_0,HAR,empirical,composition,Pie chart,384,soft,0.0031308983453396,99.68788735841912,4,True,sectors
comp_HAR_0,HAR,empirical,composition,Donut chart,384,hard,0.0008096676012949,99.9190987429972,4,False,52% hole
comp_HAR_0,HAR,empirical,composition,Donut chart,384,soft,0.0058747503936458,99.41595607292592,4,False,52% hole
comp_HAR_0,HAR,empirical,composition,Stacked bar,384,hard,0.0016967293424051,99.83061446716324,4,False,one strip
comp_HAR_0,HAR,empirical,composition,Stacked bar,384,soft,0.0049148753583197,99.51091624983984,4,False,one strip
comp_HAR_1,HAR,empirical,composition,Bar chart,256,hard,0.0098488830379423,99.02471714299332,4,False,values
comp_HAR_1,HAR,empirical,composition,Bar chart,256,soft,0.0228417194775636,97.76683732755538,4,False,values
comp_HAR_1,HAR,empirical,composition,Pie chart,256,hard,0.0037874248510638,99.6226865611884,4,True,sectors
comp_HAR_1,HAR,empirical,composition,Pie chart,256,soft,0.0069006869701073,99.31466061554964,4,True,sectors
comp_HAR_1,HAR,empirical,composition,Donut chart,256,hard,0.0044404556025552,99.55791748751383,4,False,52% hole
comp_HAR_1,HAR,empirical,composition,Donut chart,256,soft,0.0109797539917513,98.91394917174168,4,False,52% hole
comp_HAR_1,HAR,empirical,composition,Stacked bar,256,hard,0.0083548171954237,99.17144074159717,4,False,one strip
comp_HAR_1,HAR,empirical,composition,Stacked bar,256,soft,0.0142548689820314,98.5945476410344,4,False,one strip
comp_HAR_1,HAR,empirical,composition,Bar chart,384,hard,0.0066646824011928,99.33794415184056,4,False,values
comp_HAR_1,HAR,empirical,composition,Bar chart,384,soft,0.0145987595161564,98.56112976886368,4,False,values
comp_HAR_1,HAR,empirical,composition,Pie chart,384,hard,0.0023395926446923,99.76658682727286,4,True,sectors
comp_HAR_1,HAR,empirical,composition,Pie chart,384,soft,0.0041404297109907,99.58766427598354,4,True,sectors
comp_HAR_1,HAR,empirical,composition,Donut chart,384,hard,0.0027627113147346,99.72449002305716,4,False,52% hole
comp_HAR_1,HAR,empirical,composition,Donut chart,384,soft,0.0067733084999339,99.32722605548354,4,False,52% hole
comp_HAR_1,HAR,empirical,composition,Stacked bar,384,hard,0.0051935083714835,99.48333247994232,4,False,one strip
comp_HAR_1,HAR,empirical,composition,Stacked bar,384,soft,0.00900885071711,99.107158404933,4,False,one strip
comp_HeartFailure_0,HeartFailure,empirical,composition,Bar chart,256,hard,0.0091223708200199,99.0960094549676,4,False,values
comp_HeartFailure_0,HeartFailure,empirical,composition,Bar chart,256,soft,0.0235489045551778,97.69928877356264,4,False,values
comp_HeartFailure_0,HeartFailure,empirical,composition,Pie chart,256,hard,0.0026946694280765,99.73125723011836,4,True,sectors
comp_HeartFailure_0,HeartFailure,empirical,composition,Pie chart,256,soft,0.0064867976290057,99.35550097186702,4,True,sectors
comp_HeartFailure_0,HeartFailure,empirical,composition,Donut chart,256,hard,0.0028758581965304,99.71323886470832,4,False,52% hole
comp_HeartFailure_0,HeartFailure,empirical,composition,Donut chart,256,soft,0.0114910014302242,98.86395416133448,4,False,52% hole
comp_HeartFailure_0,HeartFailure,empirical,composition,Stacked bar,256,hard,0.0072213329663453,99.28304408078034,4,False,one strip
comp_HeartFailure_0,HeartFailure,empirical,composition,Stacked bar,256,soft,0.0140399053798159,98.6154484349847,4,False,one strip
comp_HeartFailure_0,HeartFailure,empirical,composition,Bar chart,384,hard,0.006130327062914,99.39070248674348,4,False,values
comp_HeartFailure_0,HeartFailure,empirical,composition,Bar chart,384,soft,0.0147820524614021,98.54332736516696,4,False,values
comp_HeartFailure_0,HeartFailure,empirical,composition,Pie chart,384,hard,0.0015279576450306,99.84743734477232,4,True,sectors
comp_HeartFailure_0,HeartFailure,empirical,composition,Pie chart,384,soft,0.0039564892051636,99.60591029116252,4,True,sectors
comp_HeartFailure_0,HeartFailure,empirical,composition,Donut chart,384,hard,0.0016795937254571,99.83232225793776,4,False,52% hole
comp_HeartFailure_0,HeartFailure,empirical,composition,Donut chart,384,soft,0.0072270113715289,99.28248435656148,4,False,52% hole
comp_HeartFailure_0,HeartFailure,empirical,composition,Stacked bar,384,hard,0.0036625481987417,99.63508171094809,4,False,one strip
comp_HeartFailure_0,HeartFailure,empirical,composition,Stacked bar,384,soft,0.0079911400114458,99.20722120520274,4,False,one strip
comp_HeartFailure_1,HeartFailure,empirical,composition,Bar chart,256,hard,0.0081717253073588,99.18945105261037,4,False,values
comp_HeartFailure_1,HeartFailure,empirical,composition,Bar chart,256,soft,0.0179365606953342,98.23794906402792,4,False,values
comp_HeartFailure_1,HeartFailure,empirical,composition,Pie chart,256,hard,0.0026660622459175,99.73410267422976,4,True,sectors
comp_HeartFailure_1,HeartFailure,empirical,composition,Pie chart,256,soft,0.0051525980927506,99.4873815077902,4,True,sectors
comp_HeartFailure_1,HeartFailure,empirical,composition,Donut chart,256,hard,0.0026944785097236,99.7312762194793,4,False,52% hole
comp_HeartFailure_1,HeartFailure,empirical,composition,Donut chart,256,soft,0.0086566173066442,99.14176765827804,4,False,52% hole
comp_HeartFailure_1,HeartFailure,empirical,composition,Stacked bar,256,hard,0.0070045035018498,99.30442182954576,4,False,one strip
comp_HeartFailure_1,HeartFailure,empirical,composition,Stacked bar,256,soft,0.0112659800811592,98.88595282516523,4,False,one strip
comp_HeartFailure_1,HeartFailure,empirical,composition,Bar chart,384,hard,0.0058817269084664,99.415266551611,4,False,values
comp_HeartFailure_1,HeartFailure,empirical,composition,Bar chart,384,soft,0.0118829156758492,98.82566298019644,4,False,values
comp_HeartFailure_1,HeartFailure,empirical,composition,Pie chart,384,hard,0.0014549674409354,99.85471464137292,4,True,sectors
comp_HeartFailure_1,HeartFailure,empirical,composition,Pie chart,384,soft,0.0031013711976682,99.6908217567318,4,True,sectors
comp_HeartFailure_1,HeartFailure,empirical,composition,Donut chart,384,hard,0.0015807558182696,99.84217390269464,4,False,52% hole
comp_HeartFailure_1,HeartFailure,empirical,composition,Donut chart,384,soft,0.0053891266141846,99.46397603957251,4,False,52% hole
comp_HeartFailure_1,HeartFailure,empirical,composition,Stacked bar,384,hard,0.0038660447163339,99.61488440248756,4,False,one strip
comp_HeartFailure_1,HeartFailure,empirical,composition,Stacked bar,384,soft,0.0070000812847781,99.30485792256869,4,False,one strip
cohort_HeartFailure,HeartFailure,empirical,composition,Bar chart,256,hard,0.0027573829557987,99.72501992977894,4,False,values
cohort_HeartFailure,HeartFailure,empirical,composition,Bar chart,256,soft,0.0021202951725761,99.78841909671024,4,False,values
cohort_HeartFailure,HeartFailure,empirical,composition,Pie chart,256,hard,0.000497815389032,99.95024323078222,4,True,sectors
cohort_HeartFailure,HeartFailure,empirical,composition,Pie chart,256,soft,0.0012625370423734,99.87390549474635,4,True,sectors
cohort_HeartFailure,HeartFailure,empirical,composition,Donut chart,256,hard,0.000589751281954,99.94105963196222,4,False,52% hole
cohort_HeartFailure,HeartFailure,empirical,composition,Donut chart,256,soft,0.0016453008971954,99.83574016713084,4,False,52% hole
cohort_HeartFailure,HeartFailure,empirical,composition,Stacked bar,256,hard,0.0029421383806086,99.70664924046775,4,False,one strip
cohort_HeartFailure,HeartFailure,empirical,composition,Stacked bar,256,soft,0.0027610155288177,99.72465866880935,4,False,one strip
cohort_HeartFailure,HeartFailure,empirical,composition,Bar chart,384,hard,0.0027288159576613,99.72786102142132,4,False,values
cohort_HeartFailure,HeartFailure,empirical,composition,Bar chart,384,soft,0.0013898476384963,99.8612081356952,4,False,values
cohort_HeartFailure,HeartFailure,empirical,composition,Pie chart,384,hard,0.000457706932418,99.95425024673742,4,True,sectors
cohort_HeartFailure,HeartFailure,empirical,composition,Pie chart,384,soft,0.0006054561211683,99.93949102341342,4,True,sectors
cohort_HeartFailure,HeartFailure,empirical,composition,Donut chart,384,hard,0.0005802238505626,99.94201126139296,4,False,52% hole
cohort_HeartFailure,HeartFailure,empirical,composition,Donut chart,384,soft,0.000904745525216,99.90960722993265,4,False,52% hole
cohort_HeartFailure,HeartFailure,empirical,composition,Stacked bar,384,hard,0.0018708663119286,99.8132627292761,4,False,one strip
cohort_HeartFailure,HeartFailure,empirical,composition,Stacked bar,384,soft,0.0018940198154655,99.8109560714002,4,False,one strip
comp_ILPD_0,ILPD,empirical,composition,Bar chart,256,hard,0.0100027245267694,99.0096339065366,4,False,values
comp_ILPD_0,ILPD,empirical,composition,Bar chart,256,soft,0.0227340811880423,97.77712685963944,4,False,values
comp_ILPD_0,ILPD,empirical,composition,Pie chart,256,hard,0.0028347718821635,99.7173241333821,4,True,sectors
comp_ILPD_0,ILPD,empirical,composition,Pie chart,256,soft,0.0061926650395492,99.38454480392124,4,True,sectors
comp_ILPD_0,ILPD,empirical,composition,Donut chart,256,hard,0.0029791629028371,99.70296861460064,4,False,52% hole
comp_ILPD_0,ILPD,empirical,composition,Donut chart,256,soft,0.0108314047961523,98.9284657416895,4,False,52% hole
comp_ILPD_0,ILPD,empirical,composition,Stacked bar,256,hard,0.007556631950484,99.25000424682278,4,False,one strip
